# header:
#   title: If resonance data
#   source: Resonancetables
#   date: 2025-07-13
# reaction:
#   type: If
# quantity:
#   type: resonance data
# datablock:
#   columns: 11
#   entries: 52
##       Z              A            Liso           Value         dValue        Reference   Rel. dev. comp. Rel. dev. NDL  Rel. dev. all  #Experiments      Nuclide
##      []             []             []            [eV]           [eV]            []             [%]            [%]            [%]            []             []
        88            226              0        1.187000E-02   0.000000E+00  Sukhoruchkin          0.00           0.00           0.00           0           Ra226 
        90            228              0        1.830000E+00   2.500000E-01  Sukhoruchkin          0.00           0.00           0.00           0           Th228 
        90            229              0        3.160000E+02   5.500000E+01  Sukhoruchkin         12.34           0.00          12.34           0           Th229 
        90            230              0        1.230000E+00   1.700000E-01  Sukhoruchkin          0.00           0.00           0.00           0           Th230 
        90            231              0        1.560000E+02   0.000000E+00  JUKO                  0.00           0.00           0.00           0           Th231 
        90            232              0        7.460000E-02   1.600000E-03  JUKO                  0.00           0.00           0.00           0           Th232 
        90            233              0        8.400000E+01   0.000000E+00  JUKO                  0.00           0.00           0.00           0           Th233 
        91            231              0        3.980000E+00   2.500000E-01  Sukhoruchkin         97.52           0.00         136.27           1           Pa231 
        91            232              0        1.075000E+03   2.200000E+01  Mughabghab-2018       6.67           0.00           5.45           2           Pa232 
        91            233              0        1.360000E+00   1.000000E-01  Sukhoruchkin         37.61           0.00          37.61           0           Pa233 
        92            232              0        3.500000E+02   3.000000E+01  Mughabghab-2018       2.12           0.00          63.19           2           U232  
        92            233              0        7.750000E+02   1.800000E+01  Mughabghab-2018       0.03           0.00          18.59          12           U233  
        92            234              0        6.400000E+00   1.000000E+00  Sukhoruchkin         83.91           0.00         103.05           1           U234  
        92            235              0        2.750000E+02   5.000000E+00  Mughabghab-2018       0.17           0.00           8.23          18           U235  
        92            236              0        7.800000E+00   1.400000E+00  Sukhoruchkin         31.09           0.00          31.09           0           U236  
        92            237              0        4.700000E+01   1.700000E+01  Sukhoruchkin         54.10           0.00          54.10           0           U237  
        92            238              0        2.054000E+00   0.000000E+00  Sukhoruchkin         99.84           0.00         141.12           1           U238  
        93            235              0        1.350000E+03   3.000000E+02  JUKO                  0.00           0.00           0.00           0           Np235 
        93            236              0        1.174000E+03   7.300000E+01  Sukhoruchkin          6.97           0.00          10.67           2           Np236 
        93            236              1        1.030000E+03   1.000000E+02  Belyaev               0.00           0.00          19.08           2           Np236m
        93            237              0        4.700000E+00   2.300000E-01  Mughabghab-2018      19.83           0.00          18.88           1           Np237 
        93            238              0        8.830000E+02   7.000000E+01  Mughabghab-2018      10.71           0.00          18.36           3           Np238 
        94            236              0        9.900000E+02   3.000000E+01  Mughabghab-2018       0.81           0.00           1.64           3           Pu236 
        94            238              0        2.930000E+01   2.300000E+00  Sukhoruchkin          5.94           0.00          10.84           2           Pu238 
        94            239              0        3.030000E+02   1.000000E+01  Mughabghab-2018       0.05           0.00         106.21          12           Pu239 
        94            240              0        8.960000E+00   2.600000E-01  Sukhoruchkin         47.85           0.00          55.01           1           Pu240 
        94            241              0        5.530000E+02   2.000000E+01  Mughabghab-2018       1.42           0.00           2.32           4           Pu241 
        94            242              0        5.700000E+00   9.000000E-01  Sukhoruchkin         95.88           0.00          95.88           0           Pu242 
        94            243              0        5.500000E+02   8.000000E+01  Mughabghab-2018       0.00           0.00           0.00           0           Pu243 
        94            244              0        4.900000E+00   6.000000E-01  Sukhoruchkin          0.00           0.00           0.00           0           Pu244 
        95            241              0        1.440000E+01   1.000000E+00  Mughabghab-2018       1.62           0.00          24.15           4           Am241 
        95            242              0        2.100000E+03   2.000000E+02  Mughabghab-2018      75.00           0.00         108.15           1           Am242 
        95            242              1        1.570000E+03   8.000000E+01  Mughabghab-2018       0.83           0.00          18.51           1           Am242m
        95            243              0        2.300000E+00   3.000000E-01  Mughabghab-2018      44.52           0.00          63.59           3           Am243 
        95            244              0        2.300000E+03   3.000000E+02  Mughabghab-2018       0.00           0.00           0.00           0           Am244 
        95            244              1        1.600000E+03   3.000000E+02  Mughabghab-2018       0.00           0.00           0.00           0           Am244m
        96            242              0        1.300000E+01   7.000000E-01  Mughabghab-2018      24.28           0.00          24.28           0           Cm242 
        96            243              0        1.492000E+03   1.000000E+02  Mughabghab-2018       2.14           0.00           9.26           3           Cm243 
        96            244              0        6.200000E+00   2.000000E-01  Mughabghab-2018      33.79           0.00          37.10           3           Cm244 
        96            245              0        7.720000E+02   4.000000E+01  Mughabghab-2018       3.75           0.00          16.09           6           Cm245 
        96            246              0        1.020000E+01   4.000000E-01  Mughabghab-2018       3.31           0.00          12.73           2           Cm246 
        96            247              0        7.600000E+02   5.000000E+01  Mughabghab-2018      11.14           0.00          15.42           7           Cm247 
        96            248              0        1.320000E+01   8.000000E-01  Mughabghab-2018      14.86           0.00          32.47           3           Cm248 
