# Header: 
#   title: 92-U-235(N,F) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 92 
#   A: 235 
#   Nuclide: 92-U-235 
# Reaction: 
#   Type: N,F 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 5.85922E+02  |   2.23972E+01 (N = 176)
#   Thermal Weighted Mean    +/- Weighted Error      : 5.85601E+02 +/-  7.65296E-01 (N = 176)
#   AV Simple Mean            |  Simple Stdev        : 5.84230E+02  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 5.67000E+02  |   2.12132E+01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 5.81647E+02 +/-  5.96461E+00   (N = 2)
#   RTE Simple Mean           |  Simple Stdev        : 9.35229E+01  |   2.33404E+00  (N = 39)
#   RTE Weighted Mean        +/- Weighted Error      : 9.34237E+01 +/-  2.33576E-01  (N = 39)
#   SPA Simple Mean           |  Simple Stdev        : 5.80000E+02  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
10267-024-0         R.Gwin                  1976   2.6000E-08   0.0000E+00   5.7025E+02   7.5422E+00                
12356-006-0         C.B.Bigham              1976   2.5300E-08   0.0000E+00   5.7690E+02   3.4000E+00                
30399-002-0         I.Berceanu              1978   2.5300E-08   0.0000E+00   5.8930E+02   4.7000E+00                
21522-012-0         C.Wagemans              1979   2.5974E-08   0.0000E+00   5.7408E+02   8.6112E+00                
21522-012-0         C.Wagemans              1979   2.5915E-08   0.0000E+00   5.7062E+02   8.5593E+00                
21522-012-0         C.Wagemans              1979   2.5856E-08   0.0000E+00   5.8824E+02   8.8236E+00                
21522-012-0         C.Wagemans              1979   2.5797E-08   0.0000E+00   5.9130E+02   8.8695E+00                
21522-012-0         C.Wagemans              1979   2.5739E-08   0.0000E+00   5.7879E+02   8.6818E+00                
21522-012-0         C.Wagemans              1979   2.5681E-08   0.0000E+00   5.8556E+02   8.7834E+00                
21522-012-0         C.Wagemans              1979   2.5622E-08   0.0000E+00   5.9316E+02   8.8974E+00                
21522-012-0         C.Wagemans              1979   2.5565E-08   0.0000E+00   5.8210E+02   8.7315E+00                
21522-012-0         C.Wagemans              1979   2.5507E-08   0.0000E+00   5.8023E+02   8.7035E+00                
21522-012-0         C.Wagemans              1979   2.5450E-08   0.0000E+00   5.9333E+02   8.9000E+00                
21522-012-0         C.Wagemans              1979   2.5392E-08   0.0000E+00   5.8870E+02   8.8305E+00                
