# nuclide=Au-197	Z=79	A=197	N_temps=19
# kT [keV]	au197_macs [mb]	unc [mb]
# nuclide=Tl-204	Z=81	A=204	N_temps=12
# kT [keV]	tl204_macs [mb]	unc [mb]
5.0	801	203
8.0	580	168
10.0	497	147
15.0	387	121
20.0	326	108
25.0	286	95
30.0	260	90
40.0	220	83
50.0	198	74
60.0	176	66
80.0	157	62
100.0	137	66
# nuclide=Tm-171	Z=69	A=171	N_temps=1
# kT [keV]	tm171_macs [mb]	unc [mb]
30.0	384.0	40.0
# nuclide=Y-89	Z=39	A=89	N_temps=18
# kT [keV]	y89_macs [mb]	unc [mb]
5.0	72.2	3.5
8.0	49.5	2.4
10.0	41.5	2.0
15.0	30.3	1.4
20.0	24.6	1.1
23.0	22.3	1.0
25.0	21.2	1.0
30.0	18.9	0.8
35.0	17.4	0.7
40.0	16.3	0.7
45.0	15.4	0.7
50.0	14.7	0.7
55.0	14.2	0.7
60.0	13.7	0.7
70.0	13.0	0.7
80.0	12.4	0.7
90.0	11.9	0.8
100.0	11.5	0.8
# nuclide=Zr-92	Z=40	A=92	N_temps=18
# kT [keV]	zr92_macs [mb]	unc [mb]
5.0	127.8	6.5
8.0	93.3	4.7
10.0	79.2	4.0
15.0	58.9	2.9
20.0	48.2	2.3
23.0	44.1	2.1
25.0	42.0	2.0
30.0	38.1	1.8
35.0	35.5	1.8
40.0	33.9	1.9
45.0	32.8	2.1
50.0	32.0	2.2
55.0	31.6	2.4
60.0	31.3	2.5
70.0	31.0	2.8
80.0	30.9	3.0
90.0	31.0	3.2
100.0	31.2	3.3
# nuclide=Zr-93	Z=40	A=93	N_temps=6
# kT [keV]	zr93_macs [mb]	unc [mb]
5.0	347	19
10.0	215	17
15.0	160	14
20.0	129	12
25.0	110	10
30.0	96	9
# nuclide=Zr-94	Z=40	A=94	N_temps=13
# kT [keV]	zr94_macs [mb]	unc [mb]
5.0	70.3	3.5
8.0	58.5	2.9
10.0	52.3	2.6
15.0	42.3	2.2
20.0	36.5	2.0
23.0	34.0	2.0
25.0	32.9	2.0
30.0	30.5	2.0
40.0	27.4	2.0
50.0	25.5	2.0
60.0	24.3	2.0
80.0	22.6	2.0
100.0	21.6	2.0
# nuclide=Zr-96	Z=40	A=96	N_temps=5
# kT [keV]	zr96_macs [mb]	unc [mb]
5.0	53.1	2.6
10.0	26.6	1.3
15.0	18.0	0.9
20.0	13.9	0.7
25.0	11.6	0.7
# nuclide=Zr-90	Z=40	A=90	N_temps=11
# kT (keV)	zr90_macs (mb)	unc (mb)
5.0	44.4	2.2
10.0	31.3	1.5
15.0	25.8	1.2
20.0	22.7	1.1
25.0	20.7	1.0
30.0	19.3	0.9
40.0	17.1	0.8
50.0	15.5	0.8
60.0	14.3	0.7
80.0	12.4	0.6
100.0	11.0	0.5
# nuclide=Zr-91	Z=40	A=91	N_temps=11
# kT (keV)	zr91_macs (mb)	unc (mb)
5.0	237	12
10.0	144	8
15.0	106	6
20.0	86	5
25.0	72	5
30.0	63	4
40.0	51	4
50.0	44	4
60.0	38	3
80.0	33	3
100.0	28	3
# nuclide=Sm-151	Z=62	A=151	N_temps=17
# kT (keV)	sm151_macs (mb)	unc (mb)
5.0	10650	500
8.0	7960	390
10.0	6500	320
12.0	5570	270
15.0	4920	240
18.0	4440	210
20.0	4060	190
25.0	3490	160
30.0	3080	150
35.0	2780	140
40.0	2530	120
45.0	2330	110
50.0	2150	100
60.0	1890	90
70.0	1690	80
85.0	1460	70
100.0	1290	60
