C Z Sym  A   Io  Bn     Nr    Do      dDo    So   dS  Ref   Gam dGam   
---------------------------------------------------------------------
  11 Na  24 1.5  6.959   3 9.50E+01 3.00E+01           79R             
  12 Mg  25   0  7.330   4 4.70E+02 1.40E+02           79R             
  13 Al  28 2.5  7.725   7 4.50E+01 1.50E+01           79R             
  14 Si  29   0  8.474   5 2.00E+02 6.00E+01           79R             
  14 Si  30 0.5 10.610   5 3.50E+02 1.60E+02           83H             
  16 S   33   0  8.641  41 1.50E+02 3.50E+01 0.73 0.24 79R 1900        
  16 S   34 1.5 11.416   7 2.70E+02 1.00E+02           79R             
  16 S   35   0  6.985   3 2.00E+02 7.00E+01           79R             
  17 Cl  36 1.5  8.580  10 2.30E+01 6.00E+00 0.33 0.15 96I             
  17 Cl  38 1.5  6.108  14 1.50E+01 4.00E+00 0.60 0.22 96I             
  18 Ar  41   0  6.098   7 7.02E+01 1.70E+01 0.90 0.45 88V             
  19 K   40 1.5  7.799   7 1.50E+01 5.00E+00 0.66 0.42 79R             
  19 K   42 1.5  7.533   5 2.50E+01 1.00E+01 0.70 0.40 96I             
  20 Ca  41   0  8.362  31 3.26E+01 4.30E+00 3.20 0.80 88V 1500 1000   
  20 Ca  43   0  7.932  27 1.58E+01 2.10E+00 2.70 0.50 88V 1100  200   
  20 Ca  44 3.5 11.132  23 1.30E+00 3.00E+00 3.50 0.60 96I  750   40   
  20 Ca  45   0  7.414  21 2.41E+01 3.20E+00 2.40 0.50 88V 1300  400   
  21 Sc  46 3.5  8.760  74 1.30E+00 1.00E-01 4.40 0.60 96I  840  460   
  22 Ti  47   0  8.877  12 2.50E+01 4.40E+00 2.40 1.20 88V 1400  400   
  22 Ti  48 2.5 11.627  40 1.75E+00 2.50E-01 2.80 0.60 96I 1200  400   
  22 Ti  49   0  8.142  16 1.83E+01 2.90E+00 4.00 1.30 88V 1400  400   
  22 Ti  50 3.5 10.939  35 4.00E+00 8.00E-01 3.00 0.50 96I  810  240   
  22 Ti  51   0  6.371   3 1.25E+02 7.00E+01           81M 1100  300   
  23 V   51   6 11.051  16 2.30E+00 6.00E-01 4.20 1.30 96I  600   80   
  23 V   52 3.5  7.310  48 4.10E+00 6.00E-01 7.10 1.50 96I 1500  300   
  24 Cr  51   0  9.261  41 1.33E+01 1.30E+00 2.40 0.40 88V 1500  500   
  24 Cr  53   0  7.939  23 4.34E+01 4.37E+00 2.85 0.45 89R 1850  550   
  24 Cr  54 1.5  9.719  34 7.80E+00 8.00E-01 4.60 1.00 89R 2100  800   
  24 Cr  55   0  6.246  15 6.20E+01 8.00E+00 2.30 1.00 89R 2500  700   
  25 Mn  56 2.5  7.270  52 2.30E+00 4.00E-01 4.40 0.60 96I  750  150   
  26 Fe  55   0  9.297  52 1.80E+01 2.40E+00 6.90 1.80 88V 1800  500   
