# Header: 
#   title: 82-PB-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 82 
#   A: 0 
#   Nuclide: 82-PB-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 8.25677E+00  |   2.57633E+00  (N = 84)
#   Thermal Weighted Mean    +/- Weighted Error      : 8.86297E+00 +/-  4.53125E-03  (N = 84)
#   MXW Simple Mean           |  Simple Stdev        : 1.05500E+01  |   2.75772E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 1.14000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11361-009-0         W.W.Havens Jr           1952   2.4400E-08   0.0000E+00   7.9000E+00   0.0000E+00                
20756-002-0         K.Kanda                 1976   2.4000E-08   0.0000E+00   9.7100E+00   1.0000E-02                
20756-002-0         K.Kanda                 1976   2.6000E-08   0.0000E+00   9.7900E+00   1.0000E-02                
20756-003-0         K.Kanda                 1976   2.4000E-08   0.0000E+00   9.9000E+00   1.0000E-01                
20756-003-0         K.Kanda                 1976   2.6000E-08   0.0000E+00   9.9000E+00   1.0000E-01                
20756-004-0         K.Kanda                 1976   2.4000E-08   0.0000E+00   1.0100E+01   1.0000E-01                
20756-004-0         K.Kanda                 1976   2.6000E-08   0.0000E+00   1.0100E+01   1.0000E-01                
20756-005-0         K.Kanda                 1976   2.4000E-08   0.0000E+00   9.5000E+00   1.0000E-01                
20756-005-0         K.Kanda                 1976   2.6000E-08   0.0000E+00   9.7000E+00   1.0000E-01                
20756-006-0         K.Kanda                 1976   2.4000E-08   0.0000E+00   9.3300E+00   1.0000E-02                
20756-006-0         K.Kanda                 1976   2.6000E-08   0.0000E+00   9.4500E+00   1.0000E-02                
13761-010-0         J.A.Harvey              1977   2.5999E-08   0.0000E+00   5.7090E+00   8.1146E-02                
13761-010-0         J.A.Harvey              1977   2.5959E-08   0.0000E+00   5.7946E+00   8.2368E-02                
13761-010-0         J.A.Harvey              1977   2.5919E-08   0.0000E+00   6.0617E+00   8.3549E-02                
13761-010-0         J.A.Harvey              1977   2.5880E-08   0.0000E+00   6.0787E+00   8.4558E-02                
13761-010-0         J.A.Harvey              1977   2.5840E-08   0.0000E+00   6.3594E+00   8.6863E-02                
