# Header: 
#   title: 26-FE-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 26 
#   A: 0 
#   Nuclide: 26-FE-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.5983e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.18071E+01  |   6.17041E-01  (N = 81)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.17810E+01 +/-  1.00315E-02  (N = 81)
#   MXW Simple Mean           |  Simple Stdev        : 1.28000E+01  |   1.13137E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
13733-005-0         J.A.Harvey              1982   2.5769E-08   7.7307E-11   1.2262E+01   1.1546E-01                
13733-005-0         J.A.Harvey              1982   2.5753E-08   7.7259E-11   1.2332E+01   1.1585E-01                
13733-005-0         J.A.Harvey              1982   2.5720E-08   7.7160E-11   1.2338E+01   6.6675E-02                
13733-005-0         J.A.Harvey              1982   2.5671E-08   7.7013E-11   1.2339E+01   6.7094E-02                
13733-005-0         J.A.Harvey              1982   2.5622E-08   7.6866E-11   1.2311E+01   6.7060E-02                
13733-005-0         J.A.Harvey              1982   2.5573E-08   7.6719E-11   1.2407E+01   6.7780E-02                
13733-005-0         J.A.Harvey              1982   2.5525E-08   7.6575E-11   1.2345E+01   6.7154E-02                
13733-005-0         J.A.Harvey              1982   2.5476E-08   7.6428E-11   1.2405E+01   6.7952E-02                
13733-005-0         J.A.Harvey              1982   2.5428E-08   7.6284E-11   1.2503E+01   6.8845E-02                
13733-005-0         J.A.Harvey              1982   2.5380E-08   7.6140E-11   1.2430E+01   6.8443E-02                
13733-005-0         J.A.Harvey              1982   2.5332E-08   7.5996E-11   1.2365E+01   6.8159E-02                
13733-005-0         J.A.Harvey              1982   2.5284E-08   7.5852E-11   1.2454E+01   6.8758E-02                
13733-005-0         J.A.Harvey              1982   2.5236E-08   7.5708E-11   1.2394E+01   6.8452E-02                
13733-005-0         J.A.Harvey              1982   2.5189E-08   7.5567E-11   1.2426E+01   6.9293E-02                
13733-005-0         J.A.Harvey              1982   2.5141E-08   7.5423E-11   1.2553E+01   6.9989E-02                
13733-005-0         J.A.Harvey              1982   2.5094E-08   7.5282E-11   1.2388E+01   6.9570E-02                
