# Header: 
#   title: 29-CU-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 29 
#   A: 0 
#   Nuclide: 29-CU-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 6.92758E+00  |   2.53249E+00 (N = 116)
#   Thermal Weighted Mean    +/- Weighted Error      : 7.40645E+00 +/-  7.26412E-03 (N = 116)
#   MXW Simple Mean           |  Simple Stdev        : 9.70000E+00  |   3.11127E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11795-002-0         W.W.Havens Jr           1948   2.4500E-08   0.0000E+00   1.0250E+01   0.0000E+00                
30362-002-0         F.Kropff Moreno         1977   2.4550E-08   0.0000E+00   1.0390E+01   1.1000E-01                
30362-002-0         F.Kropff Moreno         1977   2.5120E-08   0.0000E+00   1.0270E+01   1.1000E-01                
30362-002-0         F.Kropff Moreno         1977   2.5700E-08   0.0000E+00   1.0310E+01   1.2000E-01                
13733-006-0         J.A.Harvey              1982   2.6000E-08   7.8000E-11   6.3955E+00   6.3090E-02                
13733-006-0         J.A.Harvey              1982   2.5950E-08   7.7850E-11   6.4835E+00   6.3649E-02                
13733-006-0         J.A.Harvey              1982   2.5901E-08   7.7703E-11   6.3874E+00   6.2526E-02                
13733-006-0         J.A.Harvey              1982   2.5851E-08   7.7553E-11   6.3374E+00   6.1317E-02                
13733-006-0         J.A.Harvey              1982   2.5802E-08   7.7406E-11   6.2016E+00   5.9137E-02                
13733-006-0         J.A.Harvey              1982   2.5753E-08   7.7259E-11   6.1169E+00   5.8423E-02                
13733-006-0         J.A.Harvey              1982   2.5704E-08   7.7112E-11   5.9589E+00   5.5344E-02                
13733-006-0         J.A.Harvey              1982   2.5655E-08   7.6965E-11   5.9114E+00   5.4798E-02                
13733-006-0         J.A.Harvey              1982   2.5606E-08   7.6818E-11   5.7463E+00   5.2557E-02                
13733-006-0         J.A.Harvey              1982   2.5557E-08   7.6671E-11   5.7268E+00   5.1878E-02                
13733-006-0         J.A.Harvey              1982   2.5509E-08   7.6527E-11   5.6850E+00   5.1371E-02                
13733-006-0         J.A.Harvey              1982   2.5460E-08   7.6380E-11   5.6093E+00   5.0685E-02                
13733-006-0         J.A.Harvey              1982   2.5412E-08   7.6236E-11   5.5421E+00   4.9592E-02                
13733-006-0         J.A.Harvey              1982   2.5380E-08   7.6140E-11   5.4784E+00   8.4428E-02                
13733-006-0         J.A.Harvey              1982   2.5364E-08   7.6092E-11   5.5354E+00   8.5458E-02                
13733-006-0         J.A.Harvey              1982   2.5348E-08   7.6044E-11   5.6442E+00   8.8597E-02                
13733-006-0         J.A.Harvey              1982   2.5332E-08   7.5996E-11   5.4796E+00   8.4424E-02                
13733-006-0         J.A.Harvey              1982   2.5316E-08   7.5948E-11   5.7077E+00   8.9695E-02                
13733-006-0         J.A.Harvey              1982   2.5300E-08   7.5900E-11   5.6269E+00   8.6787E-02                
13733-006-0         J.A.Harvey              1982   2.5284E-08   7.5852E-11   5.5958E+00   8.7136E-02                
13733-006-0         J.A.Harvey              1982   2.5268E-08   7.5804E-11   5.4479E+00   8.4320E-02                
13733-006-0         J.A.Harvey              1982   2.5252E-08   7.5756E-11   5.3967E+00   8.2917E-02                
13733-006-0         J.A.Harvey              1982   2.5236E-08   7.5708E-11   5.5385E+00   8.5793E-02                
13733-006-0         J.A.Harvey              1982   2.5221E-08   7.5663E-11   5.5572E+00   8.7272E-02                
13733-006-0         J.A.Harvey              1982   2.5205E-08   7.5615E-11   5.4970E+00   8.6058E-02                
13733-006-0         J.A.Harvey              1982   2.5189E-08   7.5567E-11   5.5710E+00   8.8470E-02                
13733-006-0         J.A.Harvey              1982   2.5173E-08   7.5519E-11   5.6990E+00   8.9859E-02                
