# Header: 
#   title: 83-BI-209(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 83 
#   A: 209 
#   Nuclide: 83-BI-209 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.5999e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 6.45734E+00  |   1.93110E+00  (N = 63)
#   Thermal Weighted Mean    +/- Weighted Error      : 6.87110E+00 +/-  4.12592E-02  (N = 63)
#   MXW Simple Mean           |  Simple Stdev        : 8.55000E+00  |   4.94975E-01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14689-008-0         H.L.Anderson            1946   2.5300E-08   0.0000E+00   6.6800E+00   0.0000E+00                
21278-023-0         P.A.Egelstaff           1953   2.5300E-08   0.0000E+00   8.9000E+00   2.0000E-01                
13761-011-0         J.A.Harvey              1977   2.5999E-08   0.0000E+00   4.2728E+00   4.3218E-01                
13761-011-0         J.A.Harvey              1977   2.5986E-08   0.0000E+00   4.0229E+00   4.3504E-01                
13761-011-0         J.A.Harvey              1977   2.5973E-08   0.0000E+00   4.7032E+00   4.5189E-01                
13761-011-0         J.A.Harvey              1977   2.5959E-08   0.0000E+00   4.5648E+00   4.4341E-01                
13761-011-0         J.A.Harvey              1977   2.5946E-08   0.0000E+00   4.4645E+00   4.3953E-01                
13761-011-0         J.A.Harvey              1977   2.5933E-08   0.0000E+00   4.5961E+00   4.2476E-01                
13761-011-0         J.A.Harvey              1977   2.5919E-08   0.0000E+00   4.8043E+00   4.5745E-01                
13761-011-0         J.A.Harvey              1977   2.5906E-08   0.0000E+00   4.8283E+00   4.2863E-01                
13761-011-0         J.A.Harvey              1977   2.5893E-08   0.0000E+00   5.2287E+00   4.4585E-01                
13761-011-0         J.A.Harvey              1977   2.5880E-08   0.0000E+00   5.4122E+00   4.6970E-01                
13761-011-0         J.A.Harvey              1977   2.5866E-08   0.0000E+00   4.7891E+00   4.5558E-01                
13761-011-0         J.A.Harvey              1977   2.5853E-08   0.0000E+00   4.8383E+00   4.5470E-01                
13761-011-0         J.A.Harvey              1977   2.5840E-08   0.0000E+00   5.3202E+00   4.4127E-01                
13761-011-0         J.A.Harvey              1977   2.5827E-08   0.0000E+00   5.0325E+00   4.5556E-01                
13761-011-0         J.A.Harvey              1977   2.5813E-08   0.0000E+00   5.1151E+00   4.5851E-01                
13761-011-0         J.A.Harvey              1977   2.5800E-08   0.0000E+00   5.2212E+00   4.5230E-01                
13761-011-0         J.A.Harvey              1977   2.5787E-08   0.0000E+00   5.1481E+00   4.6829E-01                
13761-011-0         J.A.Harvey              1977   2.5774E-08   0.0000E+00   5.9917E+00   4.6257E-01                
13761-011-0         J.A.Harvey              1977   2.5761E-08   0.0000E+00   4.9273E+00   4.5633E-01                
13761-011-0         J.A.Harvey              1977   2.5748E-08   0.0000E+00   5.2553E+00   4.4853E-01                
13761-011-0         J.A.Harvey              1977   2.5734E-08   0.0000E+00   4.2926E+00   4.6929E-01                
13761-011-0         J.A.Harvey              1977   2.5721E-08   0.0000E+00   4.3409E+00   4.4557E-01                
13761-011-0         J.A.Harvey              1977   2.5708E-08   0.0000E+00   5.0588E+00   4.4463E-01                
13761-011-0         J.A.Harvey              1977   2.5695E-08   0.0000E+00   4.8601E+00   4.6193E-01                
13761-011-0         J.A.Harvey              1977   2.5682E-08   0.0000E+00   4.4243E+00   4.6127E-01                
13761-011-0         J.A.Harvey              1977   2.5669E-08   0.0000E+00   4.7148E+00   4.7385E-01                
