# Header: 
#   title: 6-C-12(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 6 
#   A: 12 
#   Nuclide: 6-C-12 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4030e-08 MeV - 2.5980e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 5.57100E+00  |   4.33528E-01  (N = 20)
#   Thermal Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN  (N = 20)
#   MXW Simple Mean           |  Simple Stdev        : 4.80000E+00  |           NAN   (N = 1)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14689-002-0         H.L.Anderson            1946   2.5300E-08   0.0000E+00   4.0500E+00   0.0000E+00                
21149-004-0         P.A.Egelstaff           1957   2.5000E-08   0.0000E+00   5.1900E+00   0.0000E+00                
21149-005-0         P.A.Egelstaff           1957   2.4200E-08   0.0000E+00   5.3100E+00   0.0000E+00                
21149-005-0         P.A.Egelstaff           1957   2.5700E-08   0.0000E+00   5.0100E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.4030E-08   0.0000E+00   5.7500E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.4240E-08   0.0000E+00   5.6600E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.4420E-08   0.0000E+00   5.6600E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.4680E-08   0.0000E+00   5.6000E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.4920E-08   0.0000E+00   5.5800E+00   0.0000E+00                
14232-002-0         C.D.Bowman              2008   2.5980E-08   0.0000E+00   5.4200E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5070E-08   0.0000E+00   5.9100E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5130E-08   0.0000E+00   5.8800E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5230E-08   0.0000E+00   5.9000E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5250E-08   0.0000E+00   5.8600E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5370E-08   0.0000E+00   5.8300E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5490E-08   0.0000E+00   5.8100E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5580E-08   0.0000E+00   5.7900E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5670E-08   0.0000E+00   5.7600E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5810E-08   0.0000E+00   5.7400E+00   0.0000E+00                
14232-003-0         C.D.Bowman              2008   2.5930E-08   0.0000E+00   5.7100E+00   0.0000E+00                
22518-002-0         M.Goldhaber             1937   2.5300E-08   0.0000E+00   4.8000E+00   0.0000E+00     MXW        
