# header: 
#   title: Bi209(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-12-15
# target: 
#   Z: 83
#   A: 209
#   nuclide: Bi209
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  4.272800E+00
#   selected value uncertainty [b]:  4.321800E-01
#   selected value source: J.A.Harvey
#   number of values: 70
#   average value [b]:  6.732736E+00
#   relative standard deviation [%]:     29.737864
#   quantity: 
#     type: EXFOR
#     average value:  6.457341E+00
#     relative standard deviation [%]:     29.667166
#   datablock: 
#     columns: 10
#     entries: 63
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      J.A.Harvey              EXFOR                1977        5.320200E+00   4.412700E-01   13761-011-0        1.245132                  2.584000E-08
      J.A.Harvey              EXFOR                1977        4.838300E+00   4.547000E-01   13761-011-0        1.132349                  2.585300E-08
      J.A.Harvey              EXFOR                1977        4.789100E+00   4.555800E-01   13761-011-0        1.120834                  2.586600E-08
      J.A.Harvey              EXFOR                1977        5.412200E+00   4.697000E-01   13761-011-0        1.266664                  2.588000E-08
      J.A.Harvey              EXFOR                1977        5.228700E+00   4.458500E-01   13761-011-0        1.223718                  2.589300E-08
      J.A.Harvey              EXFOR                1977        4.828300E+00   4.286300E-01   13761-011-0        1.130008                  2.590600E-08
      J.A.Harvey              EXFOR                1977        4.804300E+00   4.574500E-01   13761-011-0        1.124391                  2.591900E-08
      J.A.Harvey              EXFOR                1977        4.596100E+00   4.247600E-01   13761-011-0        1.075665                  2.593300E-08
      J.A.Harvey              EXFOR                1977        4.464500E+00   4.395300E-01   13761-011-0        1.044865                  2.594600E-08
      J.A.Harvey              EXFOR                1977        4.564800E+00   4.434100E-01   13761-011-0        1.068339                  2.595900E-08
      J.A.Harvey              EXFOR                1977        4.703200E+00   4.518900E-01   13761-011-0        1.100730                  2.597300E-08
      J.A.Harvey              EXFOR                1977        4.022900E+00   4.350400E-01   13761-011-0        0.941514                  2.598600E-08
      J.A.Harvey              EXFOR                1977        4.272800E+00   4.321800E-01   13761-011-0        1.000000                  2.599900E-08
#   quantity: 
#     type: EXFOR spectrum-averaged
