# header: 
#   title: Cu000(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-12-18
# target: 
#   Z: 29
#   A: 0
#   nuclide: Cu000
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  6.395500E+00
#   selected value uncertainty [b]:  6.309000E-02
#   selected value source: J.A.Harvey
#   number of values: 118
#   average value [b]:  6.974569E+00
#   relative standard deviation [%]:     36.443279
#   quantity: 
#     type: EXFOR
#     average value:  6.927579E+00
#     relative standard deviation [%]:     36.398716
#   datablock: 
#     columns: 10
#     entries: 116
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      W.W.Havens Jr           EXFOR                1948        1.025000E+01   0.000000E+00   11795-002-0        1.602689                  2.450000E-08
      J.A.Harvey              EXFOR                1982        1.223900E+01   6.249600E-02   13733-008-0        1.913689                  2.554100E-08
      J.A.Harvey              EXFOR                1982        1.223300E+01   6.234900E-02   13733-008-0        1.912751                  2.565500E-08
      J.A.Harvey              EXFOR                1982        1.221800E+01   6.189500E-02   13733-008-0        1.910406                  2.576900E-08
      J.A.Harvey              EXFOR                1982        1.201500E+01   6.111400E-02   13733-008-0        1.878665                  2.588400E-08
      J.A.Harvey              EXFOR                1982        1.222000E+01   6.093400E-02   13733-008-0        1.910718                  2.600000E-08
      J.A.Harvey              EXFOR                1982        5.123100E+00   0.000000E+00   13733-007-0        0.801048                  2.585500E-08
      J.A.Harvey              EXFOR                1982        5.167700E+00   0.000000E+00   13733-007-0        0.808021                  2.573500E-08
      J.A.Harvey              EXFOR                1982        5.145000E+00   0.000000E+00   13733-007-0        0.804472                  2.557600E-08
      J.A.Harvey              EXFOR                1982        5.100000E+00   0.000000E+00   13733-007-0        0.797436                  2.541600E-08
      J.A.Harvey              EXFOR                1982        5.211700E+00   0.000000E+00   13733-007-0        0.814901                  2.533500E-08
      J.A.Harvey              EXFOR                1982        5.301100E+00   0.000000E+00   13733-007-0        0.828880                  2.529500E-08
      J.A.Harvey              EXFOR                1982        5.412800E+00   0.000000E+00   13733-007-0        0.846345                  2.521400E-08
      J.A.Harvey              EXFOR                1982        5.479800E+00   0.000000E+00   13733-007-0        0.856821                  2.513400E-08
      J.A.Harvey              EXFOR                1982        5.390100E+00   0.000000E+00   13733-007-0        0.842796                  2.501500E-08
      J.A.Harvey              EXFOR                1982        5.300400E+00   0.000000E+00   13733-007-0        0.828770                  2.489500E-08
      J.A.Harvey              EXFOR                1982        5.233200E+00   0.000000E+00   13733-007-0        0.818263                  2.485600E-08
      J.A.Harvey              EXFOR                1982        5.210400E+00   0.000000E+00   13733-007-0        0.814698                  2.465600E-08
      J.A.Harvey              EXFOR                1982        5.165400E+00   0.000000E+00   13733-007-0        0.807662                  2.449700E-08
      J.A.Harvey              EXFOR                1982        5.142600E+00   0.000000E+00   13733-007-0        0.804097                  2.429700E-08
      J.A.Harvey              EXFOR                1982        5.142200E+00   0.000000E+00   13733-007-0        0.804034                  2.405800E-08
      J.A.Harvey              EXFOR                1982        6.253600E+00   8.134200E-02   13733-006-0        0.977813                  2.401900E-08
      J.A.Harvey              EXFOR                1982        6.387600E+00   8.434900E-02   13733-006-0        0.998765                  2.404900E-08
      J.A.Harvey              EXFOR                1982        6.468200E+00   8.561400E-02   13733-006-0        1.011367                  2.407800E-08
      J.A.Harvey              EXFOR                1982        6.414400E+00   8.584600E-02   13733-006-0        1.002955                  2.410800E-08
      J.A.Harvey              EXFOR                1982        6.580100E+00   8.780900E-02   13733-006-0        1.028864                  2.413800E-08
      J.A.Harvey              EXFOR                1982        6.241900E+00   8.065200E-02   13733-006-0        0.975983                  2.416700E-08
      J.A.Harvey              EXFOR                1982        6.292600E+00   8.209900E-02   13733-006-0        0.983911                  2.419700E-08
      J.A.Harvey              EXFOR                1982        6.265600E+00   8.080300E-02   13733-006-0        0.979689                  2.422700E-08
      J.A.Harvey              EXFOR                1982        6.231400E+00   7.968400E-02   13733-006-0        0.974341                  2.425700E-08
      J.A.Harvey              EXFOR                1982        6.158600E+00   7.823800E-02   13733-006-0        0.962958                  2.428700E-08
      J.A.Harvey              EXFOR                1982        5.980000E+00   7.327500E-02   13733-006-0        0.935032                  2.431700E-08
      J.A.Harvey              EXFOR                1982        5.920000E+00   7.182700E-02   13733-006-0        0.925651                  2.434700E-08
      J.A.Harvey              EXFOR                1982        5.755500E+00   6.788300E-02   13733-006-0        0.899930                  2.437700E-08
      J.A.Harvey              EXFOR                1982        5.708100E+00   6.680600E-02   13733-006-0        0.892518                  2.440700E-08
      J.A.Harvey              EXFOR                1982        5.684200E+00   6.648100E-02   13733-006-0        0.888781                  2.443800E-08
      J.A.Harvey              EXFOR                1982        5.683200E+00   6.632000E-02   13733-006-0        0.888625                  2.446800E-08
      J.A.Harvey              EXFOR                1982        5.699600E+00   6.611800E-02   13733-006-0        0.891189                  2.449800E-08
      J.A.Harvey              EXFOR                1982        5.493200E+00   6.266900E-02   13733-006-0        0.858916                  2.452900E-08
      J.A.Harvey              EXFOR                1982        5.505300E+00   6.277200E-02   13733-006-0        0.860808                  2.455900E-08
      J.A.Harvey              EXFOR                1982        5.551800E+00   6.362200E-02   13733-006-0        0.868079                  2.459000E-08
      J.A.Harvey              EXFOR                1982        5.492200E+00   6.294300E-02   13733-006-0        0.858760                  2.462000E-08
      J.A.Harvey              EXFOR                1982        5.569400E+00   6.315500E-02   13733-006-0        0.870831                  2.465100E-08
      J.A.Harvey              EXFOR                1982        5.473300E+00   6.201400E-02   13733-006-0        0.855805                  2.468200E-08
      J.A.Harvey              EXFOR                1982        5.577500E+00   6.299600E-02   13733-006-0        0.872098                  2.471300E-08
      J.A.Harvey              EXFOR                1982        5.512700E+00   6.230600E-02   13733-006-0        0.861965                  2.474300E-08
      J.A.Harvey              EXFOR                1982        5.412700E+00   8.613900E-02   13733-006-0        0.846329                  2.476600E-08
      J.A.Harvey              EXFOR                1982        5.454300E+00   8.609800E-02   13733-006-0        0.852834                  2.478200E-08
      J.A.Harvey              EXFOR                1982        5.588800E+00   9.106700E-02   13733-006-0        0.873864                  2.479700E-08
      J.A.Harvey              EXFOR                1982        5.618900E+00   9.326600E-02   13733-006-0        0.878571                  2.481300E-08
      J.A.Harvey              EXFOR                1982        5.484600E+00   8.693000E-02   13733-006-0        0.857572                  2.482800E-08
      J.A.Harvey              EXFOR                1982        5.629500E+00   9.134000E-02   13733-006-0        0.880228                  2.484400E-08
      J.A.Harvey              EXFOR                1982        5.671900E+00   9.219100E-02   13733-006-0        0.886858                  2.485900E-08
      J.A.Harvey              EXFOR                1982        5.802300E+00   9.608800E-02   13733-006-0        0.907247                  2.487500E-08
      J.A.Harvey              EXFOR                1982        5.477600E+00   8.780900E-02   13733-006-0        0.856477                  2.489100E-08
      J.A.Harvey              EXFOR                1982        5.552900E+00   8.778000E-02   13733-006-0        0.868251                  2.490600E-08
      J.A.Harvey              EXFOR                1982        5.649200E+00   9.085100E-02   13733-006-0        0.883309                  2.492200E-08
      J.A.Harvey              EXFOR                1982        5.585300E+00   9.012100E-02   13733-006-0        0.873317                  2.493700E-08
      J.A.Harvey              EXFOR                1982        5.571700E+00   9.085200E-02   13733-006-0        0.871191                  2.495300E-08
      J.A.Harvey              EXFOR                1982        5.588600E+00   8.997500E-02   13733-006-0        0.873833                  2.496800E-08
      J.A.Harvey              EXFOR                1982        5.640100E+00   9.158500E-02   13733-006-0        0.881886                  2.498400E-08
      J.A.Harvey              EXFOR                1982        5.529100E+00   8.952800E-02   13733-006-0        0.864530                  2.500000E-08
      J.A.Harvey              EXFOR                1982        5.705600E+00   9.164100E-02   13733-006-0        0.892127                  2.501500E-08
      J.A.Harvey              EXFOR                1982        5.808900E+00   9.444700E-02   13733-006-0        0.908279                  2.503100E-08
      J.A.Harvey              EXFOR                1982        5.689900E+00   9.212800E-02   13733-006-0        0.889672                  2.504700E-08
      J.A.Harvey              EXFOR                1982        5.980500E+00   1.005000E-01   13733-006-0        0.935111                  2.506300E-08
      J.A.Harvey              EXFOR                1982        5.918900E+00   9.793300E-02   13733-006-0        0.925479                  2.507800E-08
      J.A.Harvey              EXFOR                1982        5.794200E+00   9.371700E-02   13733-006-0        0.905981                  2.509400E-08
      J.A.Harvey              EXFOR                1982        5.918000E+00   9.688900E-02   13733-006-0        0.925338                  2.511000E-08
      J.A.Harvey              EXFOR                1982        5.784000E+00   9.406000E-02   13733-006-0        0.904386                  2.512600E-08
      J.A.Harvey              EXFOR                1982        5.859400E+00   9.690800E-02   13733-006-0        0.916175                  2.514100E-08
      J.A.Harvey              EXFOR                1982        5.556200E+00   8.764400E-02   13733-006-0        0.868767                  2.515700E-08
      J.A.Harvey              EXFOR                1982        5.699000E+00   8.985900E-02   13733-006-0        0.891095                  2.517300E-08
      J.A.Harvey              EXFOR                1982        5.571000E+00   8.847000E-02   13733-006-0        0.871081                  2.518900E-08
      J.A.Harvey              EXFOR                1982        5.497000E+00   8.605800E-02   13733-006-0        0.859511                  2.520500E-08
      J.A.Harvey              EXFOR                1982        5.557200E+00   8.727200E-02   13733-006-0        0.868923                  2.522100E-08
      J.A.Harvey              EXFOR                1982        5.538500E+00   8.579300E-02   13733-006-0        0.865999                  2.523600E-08
      J.A.Harvey              EXFOR                1982        5.396700E+00   8.291700E-02   13733-006-0        0.843828                  2.525200E-08
      J.A.Harvey              EXFOR                1982        5.447900E+00   8.432000E-02   13733-006-0        0.851833                  2.526800E-08
      J.A.Harvey              EXFOR                1982        5.595800E+00   8.713600E-02   13733-006-0        0.874959                  2.528400E-08
      J.A.Harvey              EXFOR                1982        5.626900E+00   8.678700E-02   13733-006-0        0.879822                  2.530000E-08
      J.A.Harvey              EXFOR                1982        5.707700E+00   8.969500E-02   13733-006-0        0.892456                  2.531600E-08
      J.A.Harvey              EXFOR                1982        5.479600E+00   8.442400E-02   13733-006-0        0.856790                  2.533200E-08
      J.A.Harvey              EXFOR                1982        5.644200E+00   8.859700E-02   13733-006-0        0.882527                  2.534800E-08
      J.A.Harvey              EXFOR                1982        5.535400E+00   8.545800E-02   13733-006-0        0.865515                  2.536400E-08
      J.A.Harvey              EXFOR                1982        5.478400E+00   8.442800E-02   13733-006-0        0.856602                  2.538000E-08
      J.A.Harvey              EXFOR                1982        5.542100E+00   4.959200E-02   13733-006-0        0.866562                  2.541200E-08
      J.A.Harvey              EXFOR                1982        5.609300E+00   5.068500E-02   13733-006-0        0.877070                  2.546000E-08
      J.A.Harvey              EXFOR                1982        5.685000E+00   5.137100E-02   13733-006-0        0.888906                  2.550900E-08
      J.A.Harvey              EXFOR                1982        5.726800E+00   5.187800E-02   13733-006-0        0.895442                  2.555700E-08
      J.A.Harvey              EXFOR                1982        5.746300E+00   5.255700E-02   13733-006-0        0.898491                  2.560600E-08
      J.A.Harvey              EXFOR                1982        5.911400E+00   5.479800E-02   13733-006-0        0.924306                  2.565500E-08
      J.A.Harvey              EXFOR                1982        5.958900E+00   5.534400E-02   13733-006-0        0.931733                  2.570400E-08
      J.A.Harvey              EXFOR                1982        6.116900E+00   5.842300E-02   13733-006-0        0.956438                  2.575300E-08
      J.A.Harvey              EXFOR                1982        6.201600E+00   5.913700E-02   13733-006-0        0.969682                  2.580200E-08
      J.A.Harvey              EXFOR                1982        6.337400E+00   6.131700E-02   13733-006-0        0.990915                  2.585100E-08
      J.A.Harvey              EXFOR                1982        6.387400E+00   6.252600E-02   13733-006-0        0.998733                  2.590100E-08
      J.A.Harvey              EXFOR                1982        6.483500E+00   6.364900E-02   13733-006-0        1.013760                  2.595000E-08
      J.A.Harvey              EXFOR                1982        6.395500E+00   6.309000E-02   13733-006-0        1.000000                  2.600000E-08
#   quantity: 
#     type: EXFOR spectrum-averaged
#     average value:  9.700000E+00
#     relative standard deviation [%]:     22.680410
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      J.R.Dunning             EXFOR                1935        7.500000E+00   0.000000E+00   12634-027-0        1.172700   MXW            2.500000E-08
      M.Goldhaber             EXFOR                1937        1.190000E+01   0.000000E+00   22518-007-0        1.860683   MXW            2.530000E-08
