# header: 
#   title: Fe000(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-09-14
# target: 
#   Z: 26
#   A: 0
#   nuclide: Fe000
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  1.236900E+01
#   selected value uncertainty [b]:  6.609600E-02
#   selected value source: J.A.Harvey
#   number of values: 83
#   average value [b]:  1.183104E+01
#   relative standard deviation [%]:      5.382904
#   quantity: 
#     type: EXFOR
#     average value:  1.180711E+01
#     relative standard deviation [%]:      5.193652
#   datablock: 
#     columns: 10
#     entries: 81
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      J.A.Harvey              EXFOR                1982        1.241300E+01   1.204000E-01   13733-005-0        1.003557                  2.503100E-08
      J.A.Harvey              EXFOR                1982        1.244800E+01   1.219900E-01   13733-005-0        1.006387                  2.504700E-08
      J.A.Harvey              EXFOR                1982        1.248900E+01   1.207700E-01   13733-005-0        1.009702                  2.506300E-08
      J.A.Harvey              EXFOR                1982        1.238800E+01   6.957000E-02   13733-005-0        1.001536                  2.509400E-08
      J.A.Harvey              EXFOR                1982        1.255300E+01   6.998900E-02   13733-005-0        1.014876                  2.514100E-08
      J.A.Harvey              EXFOR                1982        1.242600E+01   6.929300E-02   13733-005-0        1.004608                  2.518900E-08
      J.A.Harvey              EXFOR                1982        1.239400E+01   6.845200E-02   13733-005-0        1.002021                  2.523600E-08
      J.A.Harvey              EXFOR                1982        1.245400E+01   6.875800E-02   13733-005-0        1.006872                  2.528400E-08
      J.A.Harvey              EXFOR                1982        1.236500E+01   6.815900E-02   13733-005-0        0.999677                  2.533200E-08
      J.A.Harvey              EXFOR                1982        1.243000E+01   6.844300E-02   13733-005-0        1.004932                  2.538000E-08
      J.A.Harvey              EXFOR                1982        1.250300E+01   6.884500E-02   13733-005-0        1.010834                  2.542800E-08
      J.A.Harvey              EXFOR                1982        1.240500E+01   6.795200E-02   13733-005-0        1.002910                  2.547600E-08
      J.A.Harvey              EXFOR                1982        1.234500E+01   6.715400E-02   13733-005-0        0.998060                  2.552500E-08
      J.A.Harvey              EXFOR                1982        1.240700E+01   6.778000E-02   13733-005-0        1.003072                  2.557300E-08
      J.A.Harvey              EXFOR                1982        1.231100E+01   6.706000E-02   13733-005-0        0.995311                  2.562200E-08
      J.A.Harvey              EXFOR                1982        1.233900E+01   6.709400E-02   13733-005-0        0.997575                  2.567100E-08
      J.A.Harvey              EXFOR                1982        1.233800E+01   6.667500E-02   13733-005-0        0.997494                  2.572000E-08
      J.A.Harvey              EXFOR                1982        1.233200E+01   1.158500E-01   13733-005-0        0.997009                  2.575300E-08
      J.A.Harvey              EXFOR                1982        1.226200E+01   1.154600E-01   13733-005-0        0.991349                  2.576900E-08
      J.A.Harvey              EXFOR                1982        1.241200E+01   1.158400E-01   13733-005-0        1.003476                  2.578500E-08
      J.A.Harvey              EXFOR                1982        1.236400E+01   1.156100E-01   13733-005-0        0.999596                  2.580200E-08
      J.A.Harvey              EXFOR                1982        1.254500E+01   1.171600E-01   13733-005-0        1.014229                  2.581800E-08
      J.A.Harvey              EXFOR                1982        1.236300E+01   1.150300E-01   13733-005-0        0.999515                  2.583500E-08
      J.A.Harvey              EXFOR                1982        1.220200E+01   1.137000E-01   13733-005-0        0.986498                  2.585100E-08
      J.A.Harvey              EXFOR                1982        1.217400E+01   1.140400E-01   13733-005-0        0.984235                  2.586800E-08
      J.A.Harvey              EXFOR                1982        1.225900E+01   1.135500E-01   13733-005-0        0.991107                  2.588400E-08
      J.A.Harvey              EXFOR                1982        1.214400E+01   1.124700E-01   13733-005-0        0.981809                  2.590100E-08
      J.A.Harvey              EXFOR                1982        1.229600E+01   1.138700E-01   13733-005-0        0.994098                  2.591700E-08
      J.A.Harvey              EXFOR                1982        1.236200E+01   1.149400E-01   13733-005-0        0.999434                  2.593400E-08
      J.A.Harvey              EXFOR                1982        1.221500E+01   1.143000E-01   13733-005-0        0.987549                  2.595000E-08
      J.A.Harvey              EXFOR                1982        1.236900E+01   6.609600E-02   13733-005-0        1.000000                  2.598300E-08
#   quantity: 
#     type: EXFOR spectrum-averaged
#     average value:  1.280000E+01
#     relative standard deviation [%]:      6.250001
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      J.R.Dunning             EXFOR                1935        1.200000E+01   0.000000E+00   12634-024-0        0.970167   MXW            2.500000E-08
      M.Goldhaber             EXFOR                1937        1.360000E+01   0.000000E+00   22518-005-0        1.099523   MXW            2.530000E-08
