# header: 
#   title: Np237(n,g) thermal cross section
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 93
#   A: 237
#   nuclide: Np237
# reaction: 
#   type: (n,g)
# observables: 
#   selected value [b]:  1.788000E+02
#   selected value uncertainty [b]:  2.900000E+00
#   selected value source: Mughabghab-2018
#   number of values: 645
#   average value [b]:  1.786306E+02
#   relative standard deviation [%]:      5.212610
#   quantity: 
#     type: Compilation
#     average value:  1.773500E+02
#     relative standard deviation [%]:      0.817595
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Sukhoruchkin            Compilation          2015        1.759000E+02   2.900000E+00                      0.983781                  2.530000E-08
      Mughabghab-2018         Compilation          2018        1.788000E+02   2.900000E+00                      1.000000                  2.530000E-08
#   quantity: 
#     type: Compilation spectrum-averaged
#     average value:  1.749500E+02
#     relative standard deviation [%]:      0.543011
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Mughabghab-2006         Compilation          2006        1.759000E+02   2.900000E+00                      0.983781   MXW            2.530000E-08
      Firestone-2022          Compilation          2022        1.740000E+02   3.000000E+00                      0.973154   MXW            2.530000E-08
#   quantity: 
#     type: EXFOR
#     average value:  1.789166E+02
#     relative standard deviation [%]:      4.973917
#   datablock: 
#     columns: 10
#     entries: 620
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      T.Katoh                 EXFOR                2003        1.417000E+02   5.400000E+00   22835-002-2        0.792506                  2.530000E-08
      O.Shcherbakov           EXFOR                2005        1.935000E+02   2.066000E+01   22872-004-0        1.082215                  2.549000E-08
      O.Shcherbakov           EXFOR                2005        1.670000E+02   2.206000E+01   22872-004-0        0.934004                  2.476000E-08
      O.Shcherbakov           EXFOR                2005        1.935000E+02   2.279000E+01   22872-004-0        1.082215                  2.407000E-08
      H.Harada                EXFOR                2006        1.690000E+02   6.000000E+00   22977-003-0        0.945190                  2.530000E-08
      M.Mizumoto              EXFOR                2007        1.526000E+02   1.060000E+01   23074-002-2        0.853468                  2.600000E-08
      M.Mizumoto              EXFOR                2007        1.769000E+02   1.080000E+01   23074-002-2        0.989374                  2.597000E-08
      M.Mizumoto              EXFOR                2007        1.948000E+02   1.100000E+01   23074-002-2        1.089485                  2.594000E-08
      M.Mizumoto              EXFOR                2007        1.891000E+02   1.100000E+01   23074-002-2        1.057606                  2.591000E-08
      M.Mizumoto              EXFOR                2007        2.112000E+02   1.120000E+01   23074-002-2        1.181208                  2.588000E-08
      M.Mizumoto              EXFOR                2007        1.928000E+02   1.110000E+01   23074-002-2        1.078300                  2.585000E-08
      M.Mizumoto              EXFOR                2007        1.767000E+02   1.090000E+01   23074-002-2        0.988255                  2.582000E-08
      M.Mizumoto              EXFOR                2007        1.588000E+02   1.080000E+01   23074-002-2        0.888143                  2.580000E-08
      M.Mizumoto              EXFOR                2007        1.841000E+02   1.110000E+01   23074-002-2        1.029642                  2.577000E-08
      M.Mizumoto              EXFOR                2007        1.815000E+02   1.110000E+01   23074-002-2        1.015101                  2.574000E-08
