# Header: 
#   title: 71-LU-176(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 71 
#   A: 176 
#   Nuclide: 71-LU-176 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4010e-08 MeV - 2.5984e-08 MeV 
# Residual: 
#   Z: 71 
#   A: 177 
#   Nuclide: 71-LU-177
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.88421E+03  |   1.23766E+02  (N = 88)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.90735E+03 +/-  1.24540E+01  (N = 88)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14244-004-0         O.Roig                  2016   2.5705E-08   0.0000E+00   1.8637E+03   1.2287E+02                
14244-004-0         O.Roig                  2016   2.5735E-08   0.0000E+00   1.8789E+03   1.2353E+02                
14244-004-0         O.Roig                  2016   2.5755E-08   0.0000E+00   1.8993E+03   1.2499E+02                
14244-004-0         O.Roig                  2016   2.5785E-08   0.0000E+00   1.7924E+03   1.1819E+02                
14244-004-0         O.Roig                  2016   2.5805E-08   0.0000E+00   1.8025E+03   1.1889E+02                
14244-004-0         O.Roig                  2016   2.5835E-08   0.0000E+00   1.9400E+03   1.2728E+02                
14244-004-0         O.Roig                  2016   2.5855E-08   0.0000E+00   1.9248E+03   1.2616E+02                
14244-004-0         O.Roig                  2016   2.5885E-08   0.0000E+00   1.8586E+03   1.2229E+02                
14244-004-0         O.Roig                  2016   2.5915E-08   0.0000E+00   1.8331E+03   1.2063E+02                
14244-004-0         O.Roig                  2016   2.5935E-08   0.0000E+00   1.8586E+03   1.2214E+02                
14244-004-0         O.Roig                  2016   2.5965E-08   0.0000E+00   1.8484E+03   1.2159E+02                
14244-004-0         O.Roig                  2016   2.5984E-08   0.0000E+00   1.8637E+03   1.2260E+02                
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14244-009-0         O.Roig                  2016   2.5300E-08   0.0000E+00   1.9120E+03   1.3200E+02           DERIV
V1002-352-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0200E+03   7.0000E+01           RECOM
# Header: 
#   title: 71-LU-176(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 71 
#   A: 176 
#   Nuclide: 71-LU-176 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 71 
#   A: 177 
#   Nuclide: 71-LU-177-M
# Statistics:
