# Header: 
#   title: 28-NI-64(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 28 
#   A: 64 
#   Nuclide: 28-NI-64 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 28 
#   A: 65 
#   Nuclide: 28-NI-65
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.68167E+00  |   2.13299E-01   (N = 6)
#   Thermal Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 6)
#   AV Simple Mean            |  Simple Stdev        : 1.62000E+00  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 1.65200E+00  |   1.79917E-01   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      : 1.56515E+00 +/-  3.26932E-02   (N = 5)
#   SPA Simple Mean           |  Simple Stdev        : 1.47000E+00  |   9.93311E-02   (N = 4)
#   SPA Weighted Mean        +/- Weighted Error      : 1.53548E+00 +/-  1.39380E-02   (N = 4)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
41262-006-0         E.Doilnitsyn            1965   2.5000E-08   0.0000E+00   2.1000E+00   0.0000E+00                
20789-014-0         T.B.Ryves               1970   2.5300E-08   0.0000E+00   1.4900E+00   0.0000E+00                
23488-017-0         F.De Corte              1988   2.5300E-08   0.0000E+00   1.6700E+00   3.6740E-02                
23266-051-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.6100E+00   0.0000E+00                
23266-051-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.6000E+00   0.0000E+00                
23266-051-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.6200E+00   0.0000E+00                
23266-050-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.6200E+00   1.0000E-02      AV        
11447-027-0         L.Seren                 1947   2.5300E-08   0.0000E+00   1.9600E+00   3.9200E-01     MXW        
10644-021-0         G.Gleason               1975   2.5300E-08   0.0000E+00   1.4900E+00   7.0000E-02     MXW        
20625-016-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   1.5800E+00   4.0000E-02     MXW        
10676-005-0         A.F.M.Ishaq             1977   2.5300E-08   0.0000E+00   1.6300E+00   0.0000E+00     MXW        
31489-019-0         L.Venturini             1997   2.5000E-08   0.0000E+00   1.6000E+00   1.0000E-01     MXW        
11625-004-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   1.4500E+00   1.4500E-01     SPA        
12632-002-0         J.F.Emery               1968   2.5300E-08   0.0000E+00   1.3500E+00   1.0000E-01     SPA        
12866-028-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.4900E+00   2.0000E-02     SPA        
33039-002-0         B.S.Shivashankar        2012   2.5300E-08   0.0000E+00   1.5900E+00   2.0000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1001-235-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.6400E+00   4.0000E-02           RECOM
