# Header: 
#   title: 38-SR-84(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   MXW Simple Mean           |  Simple Stdev        : 4.20000E-01  |   2.54558E-01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 1.29400E-01  |   3.90423E-02   (N = 5)
#   SPA Weighted Mean        +/- Weighted Error      : 1.74641E-01 +/-  8.50053E-03   (N = 5)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
31246-006-0         H.S.Hans                1960   2.5300E-08   0.0000E+00   6.0000E-01   2.0000E-01     MXW        
21403-006-0         A.Foglio Para           1967   2.5300E-08   0.0000E+00   2.4000E-01   0.0000E+00     MXW        
12866-068-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.9900E-01   1.0000E-02     SPA        
14714-008-1         K.S.Krane               2021   2.5300E-08   0.0000E+00   1.0800E-01   3.3000E-02     SPA        
14714-008-2         K.S.Krane               2021   2.5300E-08   0.0000E+00   1.1200E-01   2.8000E-02     SPA        
14714-008-3         K.S.Krane               2021   2.5300E-08   0.0000E+00   1.1700E-01   5.2000E-02     SPA        
14714-008-4         K.S.Krane               2021   2.5300E-08   0.0000E+00   1.1100E-01   2.8000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1001-345-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.9900E-01   1.0000E-01           RECOM
# Header: 
#   title: 38-SR-84(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 38 
#   A: 84 
#   Nuclide: 38-SR-84 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 38 
#   A: 85 
#   Nuclide: 38-SR-85
# Statistics:
#   SPA Simple Mean           |  Simple Stdev        : 8.90000E-01  |   8.06102E-01   (N = 2)
#   SPA Weighted Mean        +/- Weighted Error      : 5.03749E-01 +/-  5.86156E-02   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
23519-002-0         G.E.Harrison            1952   2.5300E-08   0.0000E+00   3.2000E-01   6.4000E-02     SPA        
11649-003-0         W.S.Lyon                1953   2.5300E-08   0.0000E+00   1.4600E+00   1.4600E-01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1001-345-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   8.2200E-01   1.2000E-01           RECOM
