# Header: 
#   title: 73-TA-181(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 73 
#   A: 181 
#   Nuclide: 73-TA-181 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4475e-08 MeV - 2.5490e-08 MeV 
# Residual: 
#   Z: 73 
#   A: 182 
#   Nuclide: 73-TA-182
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 2.03936E+01  |   6.73833E-01  (N = 23)
#   Thermal Weighted Mean    +/- Weighted Error      : 2.02517E+01 +/-  8.88512E-02  (N = 23)
#   MXW Simple Mean           |  Simple Stdev        : 2.33750E+01  |   3.72234E+00   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 2.38424E+01 +/-  1.79120E-01   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 3.07500E+01  |   1.64756E+01   (N = 2)
#   SPA Weighted Mean        +/- Weighted Error      : 2.03278E+01 +/-  9.73297E-01   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
23488-083-0         F.De Corte              1988   2.5300E-08   0.0000E+00   2.0400E+01   2.2440E-01                
23260-137-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   1.0000E-01                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   1.9900E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0100E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0400E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0000E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0100E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23742-002-0         S.Nakamura              2021   2.5300E-08   0.0000E+00   2.0500E+01   4.0000E-01                
23614-008-0         S.Endo                  2024   2.5490E-08   0.0000E+00   2.0956E+01   2.3350E+00                
23614-008-0         S.Endo                  2024   2.4975E-08   0.0000E+00   2.3346E+01   2.3420E+00                
23614-008-0         S.Endo                  2024   2.4475E-08   0.0000E+00   2.0151E+01   2.2620E+00                
11625-029-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   2.8000E+01   2.8000E+00     MXW        
20651-006-0         G.Wolf                  1960   2.5300E-08   0.0000E+00   2.1000E+01   7.0000E-01     MXW        
30289-004-0         V.Markovic              1971   2.5300E-08   0.0000E+00   2.4700E+01   2.0000E-01     MXW        
20853-013-0         M.Takiue                1978   2.5300E-08   0.0000E+00   1.9800E+01   5.0000E-01     MXW        
11625-028-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   4.2400E+01   4.2400E+00     SPA        
12866-180-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.9100E+01   1.0000E+00     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
10501-010-0         S.S.Malik               1970   2.5300E-08   0.0000E+00   2.1200E+01   1.0000E+00           DERIV
23614-009-0         S.Endo                  2024   2.5300E-08   0.0000E+00   2.1300E+01   7.0000E-01           DERIV
V1002-390-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0500E+01   5.0000E-01           RECOM
# Header: 
#   title: 73-TA-181(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 73 
#   A: 181 
#   Nuclide: 73-TA-181 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 73 
#   A: 182 
#   Nuclide: 73-TA-182-M2
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.74667E-02  |   1.45895E-02   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      : 1.55844E-02 +/-  2.74475E-03   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 9.10000E-03  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11447-112-0         L.Seren                 1947   2.5300E-08   0.0000E+00   3.4000E-02   6.8000E-03     MXW        
11817-015-0         H.Arino                 1964   2.5300E-08   0.0000E+00   6.4000E-03   0.0000E+00     MXW        
20625-028-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   1.2000E-02   3.0000E-03     MXW        
12172-002-2         A.Sunyar                1961   2.5300E-08   0.0000E+00   9.1000E-03   2.3000E-03     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1002-390-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.3000E-02   2.0000E-03           RECOM
# Header: 
#   title: 73-TA-181(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 73 
#   A: 181 
#   Nuclide: 73-TA-181 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 73 
#   A: 182 
#   Nuclide: 73-TA-182-G+M1
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 2.06000E+01  |           NAN   (N = 1)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11447-113-0         L.Seren                 1947   2.5300E-08   0.0000E+00   2.0600E+01   4.1200E+00     MXW        
# Header: 
#   title: 73-TA-181(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 73 
#   A: 181 
#   Nuclide: 73-TA-181 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 73 
#   A: 182 
#   Nuclide: 73-TA-182-G
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 2.72500E+01  |   3.53553E-01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11817-016-0         H.Arino                 1964   2.5300E-08   0.0000E+00   2.7000E+01   0.0000E+00     MXW        
20625-029-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   2.7500E+01   1.3800E+00     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1002-390-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0500E+01   5.0000E-01           RECOM
