# Header: 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 30 
#   A: 69 
#   Nuclide: 30-ZN-69
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.11300E+00  |   4.24264E-03   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
31248-003-0         S.K.Mangal              1962   2.5300E-08   0.0000E+00   1.1160E+00   1.6740E-01     MXW        
40780-005-0         L.N.Bystrov             1968   2.5300E-08   0.0000E+00   1.1100E+00   0.0000E+00     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1001-254-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.0700E+00   1.0000E-01           RECOM
