# Header: 
#   title: 40-ZR-94(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 40 
#   A: 94 
#   Nuclide: 40-ZR-94 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 40 
#   A: 95 
#   Nuclide: 40-ZR-95
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 5.23000E-02  |   5.18781E-03   (N = 7)
#   Thermal Weighted Mean    +/- Weighted Error      : 5.25901E-02 +/-  5.06555E-04   (N = 7)
#   AV Simple Mean            |  Simple Stdev        : 5.17000E-02  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 5.65125E-02  |   1.10020E-02   (N = 8)
#   MXW Weighted Mean        +/- Weighted Error      : 4.99920E-02 +/-  6.58027E-04   (N = 8)
#   SPA Simple Mean           |  Simple Stdev        : 5.11792E-02  |   7.97614E-03  (N = 12)
#   SPA Weighted Mean        +/- Weighted Error      : 4.80420E-02 +/-  4.00006E-04  (N = 12)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
30188-007-0         M.D.Ricabarra           1970   2.5300E-08   0.0000E+00   6.3000E-02   8.0000E-03                
10385-002-0         D.C.Santry              1973   2.5300E-08   0.0000E+00   4.7500E-02   2.4000E-03                
10385-006-0         D.C.Santry              1973   2.5300E-08   0.0000E+00   4.7600E-02   2.6000E-03                
23488-033-0         F.De Corte              1988   2.5300E-08   0.0000E+00   5.3000E-02   5.3000E-04                
23266-095-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   5.1500E-02   0.0000E+00                
23266-095-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   5.2000E-02   0.0000E+00                
23266-095-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   5.1500E-02   0.0000E+00                
23266-094-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   5.1700E-02   3.0000E-04      AV        
11507-048-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   8.0000E-02   4.0000E-02     MXW        
11426-012-0         W.A.Brooksbank          1955   2.5300E-08   0.0000E+00   6.0000E-02   1.0000E-02     MXW        
10192-002-0         R.H.Fulmer              1971   2.5300E-08   0.0000E+00   5.2000E-02   3.0000E-03     MXW        
10839-007-0         R.Rundberg              1978   2.5300E-08   0.0000E+00   5.2000E-02   0.0000E+00     MXW        
12831-002-0         J.M.Wyrick              1982   2.5300E-08   0.0000E+00   4.9400E-02   1.7000E-03     MXW        
23388-004-0         M.U.Rajput              1995   2.5300E-08   0.0000E+00   6.3000E-02   2.0000E-03     MXW        
22632-006-0         S.Nakamura              1999   2.5300E-08   0.0000E+00   4.7900E-02   1.0000E-03     MXW        
22834-006-0         S.Nakamura              2003   2.5300E-08   0.0000E+00   4.7800E-02   1.3000E-03     MXW        
11625-015-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   7.5000E-02   7.5000E-03     SPA        
12866-072-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   5.5000E-02   2.0000E-03     SPA        
31638-005-0         Huang Xiao-Long         2000   2.5300E-08   0.0000E+00   5.3000E-02   2.0000E-03     SPA        
33037-002-0         P.M.Prajapati           2012   2.5300E-08   0.0000E+00   5.1250E-02   7.6800E-03     SPA        
14407-002-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.6500E-02   1.4000E-03     SPA        
14407-003-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.9300E-02   1.4000E-03     SPA        
14407-004-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.7800E-02   1.2000E-03     SPA        
14407-005-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.7800E-02   1.2000E-03     SPA        
14407-006-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.7700E-02   1.1000E-03     SPA        
14407-007-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.6900E-02   1.1000E-03     SPA        
14407-008-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.6900E-02   1.1000E-03     SPA        
14407-009-0         K.S.Krane               2014   2.5300E-08   0.0000E+00   4.7000E-02   1.1000E-03     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
31699-009-0         S.A.Jonah               2010   2.5300E-08   0.0000E+00   4.3000E-02   7.0000E-03           DERIV
V1001-377-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   4.9400E-02   1.7000E-03           RECOM
