# Header: 
#   title: 93-NP-237(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 93 
#   A: 237 
#   Nuclide: 93-NP-237 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z: 93 
#   A: 238 
#   Nuclide: 93-NP-238
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.78917E+02  |   8.90635E+00 (N = 620)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.78252E+02 +/-  2.72272E-01 (N = 620)
#   AV Simple Mean            |  Simple Stdev        : 1.78933E+02  |   5.47753E+00   (N = 3)
#   AV Weighted Mean         +/- Weighted Error      : 1.76994E+02 +/-  3.95178E+00   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 1.71600E+02  |   5.36656E+00   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 5)
#   MXW/FCT Simple Mean       |  Simple Stdev        : 1.50000E+02  |           NAN   (N = 1)
#   MXW/FCT Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   RAW Simple Mean           |  Simple Stdev        : 1.80112E+02  |   1.34318E+01  (N = 75)
#   RAW Weighted Mean        +/- Weighted Error      : 1.78076E+02 +/-  1.29089E+00  (N = 75)
#   SPA Simple Mean           |  Simple Stdev        : 1.67300E+02  |   2.65321E+01   (N = 7)
#   SPA Weighted Mean        +/- Weighted Error      : 1.56449E+02 +/-  1.92565E+00   (N = 7)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14565-002-0         E.J.Hennelly            1968   2.5300E-08   0.0000E+00   1.6900E+02   0.0000E+00                
23109-002-1         S.H.Eberle              1971   2.5300E-08   0.0000E+00   1.8400E+02   6.0000E+00                
10887-002-0         L.W.Weston              1981   2.4440E-08   0.0000E+00   1.7340E+02   0.0000E+00                
10887-002-0         L.W.Weston              1981   2.5070E-08   0.0000E+00   1.8480E+02   0.0000E+00                
10887-002-0         L.W.Weston              1981   2.5730E-08   0.0000E+00   1.6750E+02   0.0000E+00                
40579-007-0         L.N.Jurova              1984   2.5300E-08   0.0000E+00   1.5800E+02   4.0000E+00                
22366-002-0         K.Kobayashi             1994   2.5300E-08   0.0000E+00   1.5800E+02   3.0000E+00                
22858-002-0         Katsuhei Kobayashi      2002   2.4690E-08   0.0000E+00   1.8148E+02   2.0406E+00                
22835-002-2         T.Katoh                 2003   2.5300E-08   0.0000E+00   1.4170E+02   5.4000E+00                
22872-004-0         O.Shcherbakov           2005   2.4070E-08   0.0000E+00   1.9350E+02   2.2790E+01                
22872-004-0         O.Shcherbakov           2005   2.4760E-08   0.0000E+00   1.6700E+02   2.2060E+01                
22872-004-0         O.Shcherbakov           2005   2.5490E-08   0.0000E+00   1.9350E+02   2.0660E+01                
22977-003-0         H.Harada                2006   2.5300E-08   0.0000E+00   1.6900E+02   6.0000E+00                
23074-002-2         M.Mizumoto              2007   2.4000E-08   0.0000E+00   1.9190E+02   1.2200E+01                
23074-002-2         M.Mizumoto              2007   2.4020E-08   0.0000E+00   1.9080E+02   1.2100E+01                
23074-002-2         M.Mizumoto              2007   2.4050E-08   0.0000E+00   1.9710E+02   1.2200E+01                
23074-002-2         M.Mizumoto              2007   2.4080E-08   0.0000E+00   1.7180E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4100E-08   0.0000E+00   1.9190E+02   1.2000E+01                
23074-002-2         M.Mizumoto              2007   2.4130E-08   0.0000E+00   1.8080E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4150E-08   0.0000E+00   1.6520E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4180E-08   0.0000E+00   1.7850E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4210E-08   0.0000E+00   1.7270E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4230E-08   0.0000E+00   1.9450E+02   1.1900E+01                
23074-002-2         M.Mizumoto              2007   2.4260E-08   0.0000E+00   1.7750E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4290E-08   0.0000E+00   1.7590E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4310E-08   0.0000E+00   1.8930E+02   1.1900E+01                
23074-002-2         M.Mizumoto              2007   2.4340E-08   0.0000E+00   1.8740E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4360E-08   0.0000E+00   1.8750E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4390E-08   0.0000E+00   1.7420E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4420E-08   0.0000E+00   2.0620E+02   1.1900E+01                
23074-002-2         M.Mizumoto              2007   2.4440E-08   0.0000E+00   1.9480E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4470E-08   0.0000E+00   1.8720E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4500E-08   0.0000E+00   1.7130E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4520E-08   0.0000E+00   1.7520E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4550E-08   0.0000E+00   2.1010E+02   1.1900E+01                
23074-002-2         M.Mizumoto              2007   2.4580E-08   0.0000E+00   1.8540E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4600E-08   0.0000E+00   1.7280E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4630E-08   0.0000E+00   1.7400E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4660E-08   0.0000E+00   1.8570E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4680E-08   0.0000E+00   1.8570E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4710E-08   0.0000E+00   2.0130E+02   1.1900E+01                
23074-002-2         M.Mizumoto              2007   2.4740E-08   0.0000E+00   1.8610E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4760E-08   0.0000E+00   1.9510E+02   1.1900E+01                
