# Header: 
#   title: 95-AM-243(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 95 
#   A: 243 
#   Nuclide: 95-AM-243 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4018e-08 MeV - 2.5970e-08 MeV 
# Residual: 
#   Z: 95 
#   A: 244 
#   Nuclide: 95-AM-244
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 9.13406E+01  |   7.68929E+00 (N = 115)
#   Thermal Weighted Mean    +/- Weighted Error      : 8.77936E+01 +/-  6.96563E-01 (N = 115)
#   MXW Simple Mean           |  Simple Stdev        : 7.20667E+01  |   3.09892E+00   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      : 7.17105E+01 +/-  1.23990E+00   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 1.14888E+02  |   3.75443E+01   (N = 8)
#   SPA Weighted Mean        +/- Weighted Error      : 1.28248E+02 +/-  7.47428E-01   (N = 8)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
23534-005-0         A.Kimura                2019   2.5337E-08   0.0000E+00   8.9440E+01   7.8700E+00                
23534-005-0         A.Kimura                2019   2.5285E-08   0.0000E+00   8.6420E+01   7.8100E+00                
23534-005-0         A.Kimura                2019   2.5234E-08   0.0000E+00   8.6310E+01   7.8700E+00                
23534-005-0         A.Kimura                2019   2.5182E-08   0.0000E+00   8.7760E+01   7.8500E+00                
23534-005-0         A.Kimura                2019   2.5131E-08   0.0000E+00   8.9990E+01   7.9300E+00                
23534-005-0         A.Kimura                2019   2.5080E-08   0.0000E+00   8.8010E+01   7.9300E+00                
23534-005-0         A.Kimura                2019   2.5029E-08   0.0000E+00   9.0190E+01   7.9900E+00                
23534-005-0         A.Kimura                2019   2.4978E-08   0.0000E+00   9.1060E+01   7.9900E+00                
23534-005-0         A.Kimura                2019   2.4927E-08   0.0000E+00   9.0690E+01   7.9800E+00                
23534-005-0         A.Kimura                2019   2.4877E-08   0.0000E+00   8.8270E+01   7.9000E+00                
23534-005-0         A.Kimura                2019   2.4827E-08   0.0000E+00   8.8540E+01   7.9400E+00                
23534-005-0         A.Kimura                2019   2.4777E-08   0.0000E+00   8.6140E+01   7.8200E+00                
23534-005-0         A.Kimura                2019   2.4726E-08   0.0000E+00   8.8970E+01   7.9200E+00                
23534-005-0         A.Kimura                2019   2.4677E-08   0.0000E+00   8.9450E+01   7.8700E+00                
23534-005-0         A.Kimura                2019   2.4627E-08   0.0000E+00   9.2560E+01   7.9600E+00                
23534-005-0         A.Kimura                2019   2.4577E-08   0.0000E+00   8.7830E+01   7.8900E+00                
23534-005-0         A.Kimura                2019   2.4528E-08   0.0000E+00   8.8940E+01   7.9000E+00                
23534-005-0         A.Kimura                2019   2.4479E-08   0.0000E+00   8.7500E+01   7.7600E+00                
23534-005-0         A.Kimura                2019   2.4430E-08   0.0000E+00   8.7570E+01   7.8000E+00                
23534-005-0         A.Kimura                2019   2.4380E-08   0.0000E+00   8.7710E+01   7.7300E+00                
23534-005-0         A.Kimura                2019   2.4332E-08   0.0000E+00   9.1100E+01   7.8100E+00                
23534-005-0         A.Kimura                2019   2.4283E-08   0.0000E+00   8.7450E+01   7.6900E+00                
23534-005-0         A.Kimura                2019   2.4210E-08   0.0000E+00   8.7030E+01   6.5800E+00                
23534-005-0         A.Kimura                2019   2.4114E-08   0.0000E+00   8.6480E+01   6.5700E+00                
23534-005-0         A.Kimura                2019   2.4018E-08   0.0000E+00   8.4030E+01   6.5100E+00                
23534-006-0         A.Kimura                2019   2.5970E-08   0.0000E+00   8.7720E+01   6.1400E+00                
23534-006-0         A.Kimura                2019   2.5917E-08   0.0000E+00   8.8040E+01   6.1500E+00                
23534-006-0         A.Kimura                2019   2.5863E-08   0.0000E+00   8.4590E+01   6.0500E+00                
23534-006-0         A.Kimura                2019   2.5810E-08   0.0000E+00   9.4680E+01   6.3400E+00                
23534-006-0         A.Kimura                2019   2.5757E-08   0.0000E+00   9.4630E+01   6.3400E+00                
23534-006-0         A.Kimura                2019   2.5704E-08   0.0000E+00   8.9890E+01   6.2000E+00                
23534-006-0         A.Kimura                2019   2.5651E-08   0.0000E+00   8.9750E+01   6.1900E+00                
23534-006-0         A.Kimura                2019   2.5598E-08   0.0000E+00   8.4460E+01   6.0400E+00                
23534-006-0         A.Kimura                2019   2.5545E-08   0.0000E+00   8.8800E+01   6.1700E+00                
23534-006-0         A.Kimura                2019   2.5493E-08   0.0000E+00   8.1920E+01   5.9800E+00                
23534-006-0         A.Kimura                2019   2.5441E-08   0.0000E+00   8.4060E+01   6.0500E+00                
23534-006-0         A.Kimura                2019   2.5389E-08   0.0000E+00   8.9820E+01   6.2200E+00                
23534-006-0         A.Kimura                2019   2.5337E-08   0.0000E+00   8.6800E+01   6.1500E+00                
23534-006-0         A.Kimura                2019   2.5285E-08   0.0000E+00   8.7020E+01   6.1600E+00                
23534-006-0         A.Kimura                2019   2.5234E-08   0.0000E+00   9.5690E+01   6.4300E+00                
23534-006-0         A.Kimura                2019   2.5182E-08   0.0000E+00   9.3190E+01   6.3500E+00                
23534-006-0         A.Kimura                2019   2.5131E-08   0.0000E+00   8.1990E+01   6.0300E+00                
23534-006-0         A.Kimura                2019   2.5080E-08   0.0000E+00   8.7440E+01   6.1900E+00                
23534-006-0         A.Kimura                2019   2.5029E-08   0.0000E+00   9.2800E+01   6.3600E+00                
23534-006-0         A.Kimura                2019   2.4978E-08   0.0000E+00   9.1020E+01   6.3100E+00                
23534-006-0         A.Kimura                2019   2.4927E-08   0.0000E+00   9.3400E+01   6.3800E+00                
23534-006-0         A.Kimura                2019   2.4877E-08   0.0000E+00   8.4190E+01   6.1000E+00                
23534-006-0         A.Kimura                2019   2.4827E-08   0.0000E+00   9.1770E+01   6.3300E+00                
23534-006-0         A.Kimura                2019   2.4777E-08   0.0000E+00   8.5380E+01   6.1400E+00                
23534-006-0         A.Kimura                2019   2.4726E-08   0.0000E+00   9.1990E+01   6.3300E+00                
23534-006-0         A.Kimura                2019   2.4677E-08   0.0000E+00   8.8260E+01   6.2100E+00                
23534-006-0         A.Kimura                2019   2.4627E-08   0.0000E+00   9.6200E+01   6.4500E+00                
23534-006-0         A.Kimura                2019   2.4577E-08   0.0000E+00   8.6680E+01   6.1700E+00                
23534-006-0         A.Kimura                2019   2.4528E-08   0.0000E+00   9.5790E+01   6.4400E+00                
23534-006-0         A.Kimura                2019   2.4479E-08   0.0000E+00   8.9510E+01   6.2500E+00                
23534-006-0         A.Kimura                2019   2.4430E-08   0.0000E+00   8.6580E+01   6.1600E+00                
23534-006-0         A.Kimura                2019   2.4380E-08   0.0000E+00   9.2510E+01   6.3200E+00                
23534-006-0         A.Kimura                2019   2.4332E-08   0.0000E+00   8.8930E+01   6.2000E+00                
23534-006-0         A.Kimura                2019   2.4283E-08   0.0000E+00   8.7350E+01   6.1300E+00                
23534-006-0         A.Kimura                2019   2.4210E-08   0.0000E+00   8.4560E+01   5.6600E+00                
23534-006-0         A.Kimura                2019   2.4114E-08   0.0000E+00   8.4030E+01   5.6400E+00                
23534-006-0         A.Kimura                2019   2.4018E-08   0.0000E+00   8.1400E+01   5.5700E+00                
23744-004-0         S.Nakamura              2021   2.5300E-08   0.0000E+00   8.8500E+01   4.0000E+00                
12481-012-0         J.Butler                1957   2.5300E-08   0.0000E+00   6.8500E+01   2.0000E+00     MXW        
12481-016-0         J.Butler                1957   2.5300E-08   0.0000E+00   7.3600E+01   1.8000E+00     MXW        
22924-002-0         F.Marie                 2006   2.5000E-08   0.0000E+00   7.4100E+01   3.3000E+00     MXW        
12567-002-0         B.G.Harvey              1954   2.5300E-08   0.0000E+00   1.4000E+02   5.0000E+01     SPA        
12585-002-0         C.M.Stevens             1954   2.5300E-08   0.0000E+00   1.1500E+02   2.0000E+01     SPA        
12481-015-0         J.Butler                1957   2.5300E-08   0.0000E+00   1.3380E+02   8.0000E-01     SPA        
12550-005-0         C.H.Ice                 1966   2.5300E-08   0.0000E+00   6.6000E+01   0.0000E+00     SPA        
12550-005-0         C.H.Ice                 1966   2.5300E-08   0.0000E+00   8.4000E+01   0.0000E+00     SPA        
23109-003-3         S.H.Eberle              1971   2.5300E-08   0.0000E+00   1.3200E+02   0.0000E+00     SPA        
22967-002-0         M.Ohta                  2006   2.5000E-08   2.5300E-08   1.7450E+02   5.3000E+00     SPA        
22941-044-0         A.Letourneau            2009   2.5300E-08   0.0000E+00   7.3800E+01   2.3000E+00     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
22924-003-0         F.Marie                 2006   2.5000E-08   0.0000E+00   8.1800E+01   3.6000E+00           DERIV
23534-008-0         A.Kimura                2019   2.5300E-08   0.0000E+00   9.6000E+01   1.8000E+01           DERIV
23534-008-0         A.Kimura                2019   2.5300E-08   0.0000E+00   8.9500E+01   5.7000E+00           DERIV
23534-008-0         A.Kimura                2019   2.5300E-08   0.0000E+00   8.7700E+01   5.4000E+00           DERIV
20881-017-0         H.Ihle                  1972   2.5000E-08   0.0000E+00   1.4500E+02   0.0000E+00     SPA   DERIV
# Header: 
#   title: 95-AM-243(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 95 
#   A: 243 
#   Nuclide: 95-AM-243 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 95 
#   A: 244 
#   Nuclide: 95-AM-244-G
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 4.73000E+00  |           NAN   (N = 1)
#   Thermal Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
