# header: 
#   title: (n,a) thermal cross section for EXFOR
#   source: Resonancetables
#   date: 2025-12-18
# reaction: 
#   type: (n,a)
# quantity: 
#   type: thermal cross section
# datablock: 
#   columns: 10
#   entries: 83
##       Z              A            Liso           Value         dValue          Ratio        Reference       Author                        Nuclide
##      []             []             []             [b]            [b]            []             [%]            [%]            [%]            [%]
        19             40              0        3.880000E-01   3.200000E-02         0.9949   11592-005-0       I.G.Schroeder                 K040
        19             40              0        3.900000E-01   3.000000E-02         1.0000   21302-011-0       M.Asghar                      K040
        20             40              0        2.400000E-03   1.100000E-03         0.9600   21340-004-0       F.Muennich                    Ca040
        26             54              0        1.000000E-05   0.000000E+00         1.0000   41089-002-0       S.P.Makarov                   Fe054
        27             58              0        3.000000E-03   0.000000E+00         1.0000   10604-002-0       D.C.Santry                    Co058
        28             58              0        6.600000E-04   3.500000E-04        22.0000   21340-005-0       F.Muennich                    Ni058
        28             59              0        1.370000E+01   1.200000E+00         1.1138   10387-002-0       H.M.Eiland                    Ni059
        28             59              0        1.800000E+01   1.600000E+00         1.4634   10472-003-0       R.D.Werner                    Ni059
        28             59              0        2.230000E+01   1.600000E+00         1.8130   20433-003-0       J.Mcdonald                    Ni059
        28             59              0        1.140000E+01   8.000000E-01         0.9268   10680-002-0       J.A.Harvey                    Ni059
        28             59              0        7.380000E+00   2.214000E-01         0.6000   10257-002-0       A.A.Bauer                     Ni059
        28             61              0        2.000000E-03   0.000000E+00        66.6667   20433-005-0       J.Mcdonald                    Ni061
        28             61              0        4.500000E-02   2.000000E-02      1500.0001   21340-006-0       F.Muennich                    Ni061
        30             65              0        4.700000E+00   5.000000E-01         2.3500   12982-004-0       D.W.Kneff                     Zn065
        30             67              0        1.600000E-04   2.000000E-05         1.0063   21302-006-0       M.Asghar                      Zn067
        37             84              0        6.000000E-02   0.000000E+00         1.0000   21215-003-0       E.Hagberg                     Rb084
        48            109              0        5.000000E-02   0.000000E+00         1.0000   21539-006-0       M.Asghar                      Cd109
        54            125              0        3.000000E-02   0.000000E+00         1.0000   21539-007-0       M.Asghar                      Xe125
        54            127              0        1.000000E-02   0.000000E+00         1.0000   21215-004-0       E.Hagberg                     Xe127
        55            132              0        1.500000E-01   0.000000E+00         1.0000   21215-005-0       E.Hagberg                     Cs132
        60            143              0        2.230000E-02   2.000000E-03         1.0136   21302-003-0       M.Asghar                      Nd143
        62            149              0        4.353000E-02   4.700000E-04         1.4179   12084-002-0       K.Beg                         Sm149
