# header: 
#   title: Cd113 D1 resonance data
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 48
#   A: 113
#   nuclide: Cd113
# reaction: 
#   type: D1
#   parameters: 
#   selected value [eV]:  1.100000E+01
#   selected value uncertainty [eV]:  1.200000E+00
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  2.471932E+01
#   relative standard deviation [%]:    119.932823
#   quantity: 
#     type: Compilation
#     average value:  1.210000E+01
#     relative standard deviation [%]:     12.856487
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        1.100000E+01   1.200000E+00            94F       1.000000
      RIPL-3                  Compilation          2009        1.100000E+01   1.200000E+00            94F       1.000000
      Mughabghab-2018         Compilation          2018        1.430000E+01   7.000000E-01                      1.300000
#   quantity: 
#     type: EXFOR
#     average value:  0.000000E+00
#     relative standard deviation [%]:           NaN
#   datablock: 
#     columns: 13
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio          E-min          E-max       Momentum L       Spin J         Parity
##      []             []             []             []            [eV]           [eV]            []             []            [MeV]          [MeV]           []             []             []
      A.R.De L.Musgrove       EXFOR                1978        0.000000E+00   0.000000E+00      30488-007       0.000000   3.000000E-03   2.000000E-01       1.0                                   
#   quantity: 
#     type: Nuclear data library
#     average value:  3.514887E+01
#     relative standard deviation [%]:     97.457367
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.047620E+02   0.000000E+00                      9.523818
      jendl5.0                NDL                  2021        2.380950E+01   0.000000E+00                      2.164500
      endfb8.1                NDL                  2024        4.761900E+01   0.000000E+00                      4.329000
      TARES                   NDL                  2025        2.427430E+01   0.000000E+00                      2.206754
      tendl.2025              NDL                  2025        5.214210E+00   0.000000E+00                      0.474019
      jeff4.0                 NDL                  2025        5.214210E+00   0.000000E+00                      0.474019
