# header:
#   title: gamgam resonance data
#   source: Resonancetables
#   date: 2025-07-13
# reaction:
#   type: gamgam
# quantity:
#   type: resonance data
# datablock:
#   columns: 11
#   entries: 291
##       Z              A            Liso           Value         dValue        Reference   Rel. dev. comp. Rel. dev. NDL  Rel. dev. all  #Experiments      Nuclide
##      []             []             []            [eV]           [eV]            []             [%]            [%]            [%]            []             []
        24             52              0        2.000000E+00   5.000000E-01  RIPL-3                3.63           0.00          18.82           1           Cr052 
        24             53              0        1.400000E+00   5.000000E-01  RIPL-3               17.76           0.00          35.36           1           Cr053 
        24             54              0        1.500000E+00   5.000000E-01  RIPL-3               25.71           0.00          22.89           0           Cr054 
        25             55              0        7.500001E-01   1.500000E-01  RIPL-3                0.00           0.00           9.92           1           Mn055 
        26             54              0        1.600000E+00   7.000000E-01  RIPL-3                6.55           0.00          31.27           0           Fe054 
        26             56              0        9.200000E-01   4.100000E-01  RIPL-3                1.03           0.00          45.96           1           Fe056 
        26             57              0        1.850000E+00   5.000000E-01  RIPL-3                1.58           0.00           7.29           0           Fe057 
        26             58              0        1.130000E+00   1.100000E-01  RIPL-3               50.28           0.00          63.66           0           Fe058 
        27             59              0        5.400000E-01   5.000000E-02  RIPL-3                1.72           0.00           2.67           0           Co059 
        28             58              0        2.030000E+00   8.000000E-01  RIPL-3               12.10           0.00          12.05           0           Ni058 
        28             59              0        2.200000E+00   7.000000E-01  RIPL-3                0.21           0.00           1.10           0           Ni059 
        28             60              0        1.120000E+00   2.000000E-01  RIPL-3               19.94           0.00          62.33           1           Ni060 
        28             61              0        2.000000E+00   5.000000E-01  RIPL-3                4.56           0.00           4.42           1           Ni061 
        28             62              0        9.100000E-01   2.700000E-01  RIPL-3                0.00           0.00          59.84           1           Ni062 
        28             63              0        1.390000E+00   8.000000E-02  Mughabghab-2018       0.00           0.00          48.26           0           Ni063 
        28             64              0        1.400000E+00   7.000000E-01  RIPL-3               26.32           0.00          21.24           0           Ni064 
        29             63              0        4.900000E-01   3.000000E-02  RIPL-3                0.00           0.00           1.52           0           Cu063 
        29             65              0        3.850000E-01   2.000000E-02  RIPL-3                1.21           0.00           1.09           0           Cu065 
        30             64              0        7.260000E-01   6.000000E-02  RIPL-3                0.00           0.00           7.78           0           Zn064 
        30             66              0        3.900000E-01   6.000000E-02  RIPL-3                1.20           0.00           3.85           0           Zn066 
        30             67              0        4.400000E-01   6.000000E-02  RIPL-3                2.11           0.00           2.07           0           Zn067 
        30             68              0        3.200000E-01   4.000000E-02  RIPL-3                0.00           0.00           3.55           0           Zn068 
        30             70              0        1.700000E-01   3.000000E-02  RIPL-3                0.00           0.00           7.78           0           Zn070 
        31              0              0        3.000000E-01   4.000000E-02  Julien                0.00           0.00           0.00           1           Ga000 
        31             69              0        2.660000E-01   2.000000E-02  RIPL-3                0.71           0.00           0.95           1           Ga069 
        31             71              0        2.300000E-01   2.000000E-02  RIPL-3                2.67           0.00           2.71           1           Ga071 
        32             70              0        1.850000E-01   5.000000E-02  RIPL-3                6.87           0.00           9.57           2           Ge070 
        32             72              0        1.620000E-01   5.000000E-02  RIPL-3                3.58           0.00           6.00           2           Ge072 
        32             73              0        1.950000E-01   4.500000E-02  RIPL-3                0.48           0.00          10.16           2           Ge073 
        32             74              0        1.950000E-01   6.000000E-02  RIPL-3                0.00           0.00           4.24           1           Ge074 
        32             76              0        1.150000E-01   3.500000E-02  RIPL-3                0.00           0.00           1.58           2           Ge076 
        33             75              0        3.000000E-01   9.000000E-02  RIPL-3                6.02           0.00           5.07           1           As075 
        34             74              0        2.800000E-01   8.000001E-02  RIPL-3                5.42           0.00           9.45           2           Se074 
        34             76              0        2.300000E-01   6.000000E-02  RIPL-3                0.00           0.00           0.23           1           Se076 
        34             77              0        3.900000E-01   6.000000E-02  RIPL-3                0.00           0.00           8.39           1           Se077 
        34             78              0        2.300000E-01   6.000000E-02  RIPL-3               12.73           0.00          10.22           1           Se078 
        34             80              0        2.300000E-01   7.000000E-02  RIPL-3                0.00           0.00           3.57           1           Se080 
        34             82              0        1.260000E-01   1.500000E-02  Mughabghab-2018       0.00           0.00          10.96           0           Se082 
        35              0              0        2.900000E-01   2.500000E-02  Julien                0.00           0.00          41.41           2           Br000 
        35             79              0        3.000000E-01   5.000000E-02  RIPL-3                2.74           0.00           2.73           1           Br079 
        35             81              0        3.000000E-01   5.000000E-02  RIPL-3                9.56           0.00          10.81           1           Br081 
        36             78              0        2.350000E-01   3.500000E-02  Mughabghab-2018       0.00           0.00           5.99           0           Kr078 
        36             80              0        2.300000E-01   6.000000E-02  RIPL-3                2.08           0.00           9.50           0           Kr080 
        36             83              0        2.100000E-01   1.000000E-01  RIPL-3                0.00           0.00          21.88           0           Kr083 
        36             84              0        1.600000E-01   3.000000E-02  RIPL-3                0.00           0.00          35.80           0           Kr084 
        36             86              0        1.530000E-01   2.000000E-02  RIPL-3                0.00           0.00           0.00           0           Kr086 
        37             85              0        2.500000E-01   1.000000E-02  RIPL-3                9.03           0.00           8.16           0           Rb085 
        37             87              0        1.700000E-01   3.000000E-02  RIPL-3                3.03           0.00           3.76           0           Rb087 
        38             84              0        2.400000E-01   8.000001E-02  RIPL-3                9.74           0.00           9.83           0           Sr084 
        38             86              0        2.600000E-01   8.000001E-02  RIPL-3                0.00           0.00           2.14           0           Sr086 
        38             87              0        1.500000E-01   4.000000E-02  RIPL-3               33.56           0.00          30.59           0           Sr087 
        38             88              0        1.900000E-01   5.000000E-02  RIPL-3                0.00           0.00           2.97           0           Sr088 
        39             89              0        1.300000E-01   4.000000E-02  RIPL-3                1.44           0.00          21.83           0           Y089  
        40             90              0        1.300000E-01   2.000000E-02  RIPL-3               13.16           0.00          14.16           0           Zr090 
        40             91              0        1.400000E-01   4.000000E-02  RIPL-3                6.33           0.00           7.99           0           Zr091 
        40             92              0        1.350000E-01   2.500000E-02  RIPL-3                8.91           0.00          10.26           0           Zr092 
        40             93              0        1.570000E-01   2.000000E-02  RIPL-3                0.00           0.00           0.73           0           Zr093 
        40             94              0        8.500000E-02   2.000000E-02  RIPL-3                0.00           0.00           1.64           0           Zr094 
        40             96              0        6.500001E-02   1.500000E-02  RIPL-3               33.08           0.00          29.89           0           Zr096 
        41             93              0        1.700000E-01   1.000000E-02  RIPL-3                7.72           0.00          28.65           1           Nb093 
        42             92              0        1.600000E-01   1.500000E-02  RIPL-3                1.49           0.00           2.92           0           Mo092 
        42             94              0        1.350000E-01   1.500000E-02  RIPL-3                0.69           0.00           1.72           0           Mo094 
        42             95              0        1.620000E-01   1.000000E-02  RIPL-3                3.58           0.00          15.23           2           Mo095 
        42             96              0        1.000000E-01   1.500000E-02  RIPL-3                3.97           0.00           4.03           1           Mo096 
        42             97              0        1.300000E-01   2.000000E-02  RIPL-3                3.19           0.00           9.37           1           Mo097 
        42             98              0        8.500000E-02   1.000000E-02  RIPL-3                7.60           0.00           8.51           1           Mo098 
        42            100              0        6.500001E-02   5.000000E-03  RIPL-3               16.48           0.00          16.00           0           Mo100 
        43             99              0        1.400000E-01   1.500000E-02  RIPL-3                7.01           0.00           8.32           2           Tc099 
        44             99              0        1.950000E-01   2.000000E-02  RIPL-3                0.24           0.00           5.44           2           Ru099 
        44            100              0        1.190000E-01   1.500000E-02  Mughabghab-2018       0.00           0.00          19.44           0           Ru100 
        44            101              0        1.800000E-01   1.500000E-02  RIPL-3                0.78           0.00           3.29           3           Ru101 
        44            102              0        1.000000E-01   1.500000E-02  RIPL-3                6.01           0.00          19.31           1           Ru102 
        44            104              0        1.000000E-01   1.400000E-02  RIPL-3                7.23           0.00          17.56           1           Ru104 
        45            103              0        1.600000E-01   1.000000E-02  RIPL-3                3.73           0.00           9.50           4           Rh103 
        46            102              0        1.110000E-01   1.000000E-02  Mughabghab-2018       0.00           0.00          42.61           0           Pd102 
        46            104              0        1.500000E-01   2.000000E-02  RIPL-3               23.97           0.00          19.86           0           Pd104 
        46            105              0        1.500000E-01   1.000000E-02  RIPL-3                0.31           0.00           0.33           2           Pd105 
        46            106              0        8.950000E-02   3.500000E-03  Mughabghab-2018       0.00           0.00           9.84           0           Pd106 
        46            107              0        1.250000E-01   2.500000E-02  RIPL-3               13.01           0.00          13.11           0           Pd107 
        46            108              0        8.000001E-02   8.000000E-03  RIPL-3                1.91           0.00          11.23           0           Pd108 
        46            110              0        6.000000E-02   1.000000E-02  RIPL-3                3.21           0.00           3.69           0           Pd110 
        47              0              0        1.360000E-01   0.000000E+00  Gibbons               0.00           0.00           0.00           1           Ag000 
        47            107              0        1.400000E-01   1.000000E-02  RIPL-3                1.00           0.00           0.85           1           Ag107 
        47            109              0        1.300000E-01   1.500000E-02  RIPL-3                3.88           0.00           4.09           2           Ag109 
        47            110              1        1.480000E-01   3.000000E-02  Mughabghab-2018       0.00           0.00           8.59           0           Ag110m
        48            106              0        1.550000E-01   1.500000E-02  RIPL-3                0.61           0.00           5.68           0           Cd106 
        48            108              0        1.050000E-01   1.000000E-02  RIPL-3                1.36           0.00           3.59           0           Cd108 
        48            110              0        7.100000E-02   6.000000E-03  RIPL-3                2.61           0.00          14.28           1           Cd110 
        48            111              0        1.060000E-01   1.500000E-02  RIPL-3                4.59           0.00           7.73           2           Cd111 
        48            112              0        7.700001E-02   5.000000E-03  RIPL-3                0.00           0.00          12.82           1           Cd112 
        48            113              0        9.800000E-02   1.000000E-02  RIPL-3               24.36           0.00          19.05           2           Cd113 
        48            114              0        5.400000E-02   4.000000E-03  RIPL-3                1.51           0.00          34.42           1           Cd114 
        48            116              0        5.000000E-02   5.000000E-03  RIPL-3                2.89           0.00           5.39           0           Cd116 
        49              0              0        7.000000E-02   0.000000E+00  Gibbons               0.00           0.00           0.00           1           In000 
        49            113              0        7.500000E-02   5.000000E-03  RIPL-3                0.00           0.00           2.08           0           In113 
        49            115              0        7.700001E-02   4.000000E-03  RIPL-3                0.61           0.00           7.02           0           In115 
        50            112              0        1.100000E-01   2.000000E-02  RIPL-3               18.08           0.00          22.16           0           Sn112 
        50            114              0        9.000000E-02   3.000000E-02  RIPL-2                0.00           0.00          30.64           0           Sn114 
        50            115              0        1.180000E-01   1.000000E-02  Mughabghab-2018       0.00           0.00          36.91           0           Sn115 
        50            116              0        5.200000E-02   5.000000E-03  RIPL-3                0.90           0.00           7.83           1           Sn116 
        50            117              0        1.170000E-01   2.000000E-02  RIPL-3               16.66           0.00          15.63           1           Sn117 
        50            118              0        4.500000E-02   7.000000E-03  RIPL-3                0.00           0.00           3.10           0           Sn118 
        50            119              0        1.000000E-01   1.600000E-02  RIPL-3                4.17           0.00           3.94           0           Sn119 
        50            120              0        4.000000E-02   5.000000E-03  RIPL-3                5.26           0.00          63.43           1           Sn120 
        50            122              0        4.900000E-02   5.000000E-03  Mughabghab-2018       0.00           0.00          18.07           0           Sn122 
        50            124              0        5.000000E-02   5.000000E-03  Mughabghab-2018       0.00           0.00           2.91           0           Sn124 
        51              0              0        7.900000E-02   0.000000E+00  Gibbons               0.00           0.00           0.00           1           Sb000 
        51            121              0        1.000000E-01   2.000000E-02  RIPL-3                4.88           0.00           4.25           0           Sb121 
        51            123              0        1.000000E-01   2.000000E-02  RIPL-3                1.24           0.00           1.24           0           Sb123 
        52              0              0        1.400000E-01   5.000000E-02  Tellier               0.00           0.00           0.00           1           Te000 
        52            122              0        7.400000E-02   4.000000E-03  RIPL-3               32.63           0.00          28.55           1           Te122 
        52            123              0        1.210000E-01   1.000000E-02  RIPL-3                1.02           0.00           3.17           1           Te123 
        52            124              0        5.900000E-02   1.000000E-02  RIPL-3               36.25           0.00          31.85           1           Te124 
        52            125              0        1.060000E-01   6.000000E-03  RIPL-3               19.55           0.00          16.49           1           Te125 
        52            126              0        5.300000E-02   1.500000E-02  RIPL-3               53.24           0.00          49.25           1           Te126 
        52            128              0        3.500000E-02   5.000000E-03  RIPL-3               45.39           0.00          45.92           0           Te128 
        52            130              0        5.000000E-02   1.500000E+02  Mughabghab-2018       0.00           0.00           2.99           0           Te130 
        53            127              0        1.100000E-01   1.000000E-02  RIPL-3                9.12           0.00         264.58           4           I127  
        53            129              0        8.700000E-02   7.000000E-03  RIPL-3                5.95           0.00         200.00           2           I129  
        54            129              0        1.200000E-01   2.000000E-02  RIPL-3                0.00           0.00          12.92           2           Xe129 
        54            130              0        4.840000E-02   5.000000E-03  Mughabghab-2018       0.00           0.00           8.09           0           Xe130 
        54            131              0        1.140000E-01   2.000000E-02  RIPL-3                3.94           0.00           4.18           2           Xe131 
        54            132              0        7.000000E-02   1.000000E-02  Mughabghab-2018       0.00           0.00           3.77           0           Xe132 
        55            132              0        1.200000E-01   3.000000E-03  Mughabghab-2018       0.00           0.00          15.74           0           Cs132 
        55            133              0        1.200000E-01   1.000000E-02  RIPL-3                0.00           0.00           0.63           2           Cs133 
        55            134              0        1.600000E-01   4.000000E-02  RIPL-3                2.60           0.00           2.25           0           Cs134 
        55            135              0        1.350000E-01   3.000000E-02  RIPL-3                7.57           0.00          12.12           0           Cs135 
        56            130              0        1.000000E-01   3.000000E-02  RIPL-3                0.00           0.00           0.20           0           Ba130 
        56            134              0        7.800000E-02   8.000000E-03  RIPL-3                0.60           0.00           0.59           0           Ba134 
        56            135              0        1.350000E-01   2.500000E-02  RIPL-3                5.06           0.00           9.11           1           Ba135 
        56            136              0        8.600000E-02   8.000000E-03  RIPL-3                2.23           0.00           2.25           0           Ba136 
        56            137              0        8.000001E-02   1.000000E-02  RIPL-3               10.88           0.00          16.49           0           Ba137 
        56            138              0        5.500000E-02   2.000000E-02  RIPL-3                0.00           0.00           3.62           0           Ba138 
        57            138              0        9.500001E-02   2.500000E-02  RIPL-3                0.00           0.00          28.84           0           La138 
        57            139              0        5.500000E-02   2.000000E-03  RIPL-3                2.62           0.00           2.61           0           La139 
        58            140              0        3.500000E-02   9.000001E-03  RIPL-3               10.01           0.00           8.80           0           Ce140 
        59            141              0        8.800001E-02   9.000001E-03  RIPL-3                2.45           0.00          23.81           3           Pr141 
        60              0              0        7.700000E-02   3.500000E-02  Tellier               0.00           0.00           0.00           1           Nd000 
        60            142              0        6.700000E-02   8.000000E-03  RIPL-3               13.07           0.00          11.47           0           Nd142 
        60            143              0        8.600000E-02   9.000001E-03  RIPL-3                6.78           0.00          10.08           4           Nd143 
        60            144              0        4.700000E-02   5.000000E-03  RIPL-3                3.90           0.00          35.38           2           Nd144 
        60            145              0        5.800000E-02   7.000000E-03  RIPL-3               16.25           0.00          14.99           5           Nd145 
        60            146              0        5.500000E-02   8.000000E-03  RIPL-3                0.86           0.00          14.83           2           Nd146 
        60            148              0        4.000000E-02   5.000000E-03  RIPL-3                6.01           0.00          36.17           2           Nd148 
        60            150              0        6.700000E-02   2.500000E-02  RIPL-3                0.00           0.00          12.62           2           Nd150 
        61            147              0        6.900001E-02   5.000000E-03  RIPL-3                1.38           0.00           1.40           0           Pm147 
        62            144              0        7.400000E-02   5.000000E-03  RIPL-3                1.66           0.00           1.47           0           Sm144 
        62            147              0        6.900001E-02   4.000000E-03  RIPL-3                2.68           0.00          10.51           2           Sm147 
        62            148              0        4.400000E-02   4.000000E-03  RIPL-3                0.69           0.00          22.28           0           Sm148 
