# Header: 
#   title: 50-SN-124(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 50 
#   A: 124 
#   Nuclide: 50-SN-124 
# Reaction: 
#   Type: N,G 
#   Nuclide: 50-SN-124 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5400e-08 MeV 
# Residual: 
#   Z: 50 
#   A: 125 
#   Nuclide: 50-SN-125-G
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 4.45000E-03  |   3.87298E-04  (N = 12)
#   Thermal Weighted Mean    +/- Weighted Error      : 4.47000E-03 +/-  9.48683E-05  (N = 12)
#   MXW Simple Mean           |  Simple Stdev        : 4.19000E-03  |   1.41421E-05   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 4.18969E-03 +/-  9.04765E-04   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 2.00000E-03  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
23488-053-0         F.De Corte              1988   2.5300E-08   0.0000E+00   4.2000E-03   0.0000E+00                
14107-008-0         K.S.Krane               2006   2.5300E-08   0.0000E+00   3.3000E-03   3.0000E-04                
23260-105-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   1.0000E-04                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.8000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.5000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.5000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.5000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   0.0000E+00                
23260-106-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   4.6000E-03   0.0000E+00                
22632-008-0         S.Nakamura              1999   2.5400E-08   0.0000E+00   4.2000E-03   1.3000E-03     MXW        
22834-012-0         S.Nakamura              2003   2.5300E-08   0.0000E+00   4.1800E-03   1.2600E-03     MXW        
11961-009-0         C.Nelson                1950   2.5300E-08   0.0000E+00   2.0000E-03   4.0000E-04     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
V1001-531-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   4.2000E-03   1.3000E-03           RECOM
# ------------------
#

# Header: 
#   title: 50-SN-124(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 50 
#   A: 124 
#   Nuclide: 50-SN-124 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 50 
#   A: 125 
#   Nuclide: 50-SN-125
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.10000E-01  |           NAN   (N = 1)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW/A Simple Mean         |  Simple Stdev        : 9.00000E-03  |           NAN   (N = 1)
#   MXW/A Weighted Mean      +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
31477-006-0         M.Ricabarra             1973   2.5300E-08   0.0000E+00   1.1000E-01   4.0000E-02     MXW        
11447-080-0         L.Seren                 1947   2.5300E-08   0.0000E+00   9.0000E-03   1.8000E-03   MXW/A        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
22451-045-2         K.Knopf                 1997   2.5300E-08   0.0000E+00   4.3000E-01   6.0000E-02           DERIV
V1001-531-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.3400E-01   6.0000E-03           RECOM
# ------------------
#

